stem_id,species_id,long_id,pith,estimate_pith
C326,TOC,NA,NA,NA
C342,TOC,ToC342,NA,4
C343,ABA,AbC343,NA,6
C348,TOC,ToC348,NA,NA
C363,ABA,AbC363,NA,3
C377,TOC,ToC377,NA,3
C379,TOC,ToC379,2,NA
C380,ABA,AbC380,NA,2
C382,TOC,ToC382,NA,4
C386,TOC,ToC386,NA,8
C390,TOC,ToC390,NA,3
C425,PGL,PgC425,NA,3
C426,PGL,PgC426,2,NA
C433,TOC,NA,NA,NA
C437,TOC,ToC437,NA,4
C456,TOC,ToC456,NA,7
C457,TOC,ToC457,2,NA
C464,TOC,ToC464,NA,NA
C465,ABA,AbC465,2,NA
C470,TOC,ToC470,NA,NA
C471,TOC,ToC471,2,NA
C489,TOC,ToC489,NA,NA
C501,ABA,AbC501,2,NA
C52,TOC,To0C52,NA,NA
C56,ABA,Ab0C56,2,NA
C560,ABA,AbC560,2,NA
C561,TOC,ToC561,NA,NA
C569,PTR,PtC569,NA,3
C585,PGL,PgC585,NA,NA
C60,ABA,Ab0C60,NA,NA
C615,ABA,AbC615,NA,NA
C646,ABA,AbC646,NA,3
C648,TOC,ToC648,2,NA
C666,TOC,ToC666,NA,NA
C667,ABA,AbC667,NA,NA
C678,TOC,ToC678,NA,NA
C689,ABA,AbC689,NA,NA
C696,TOC,ToC696,2,NA
C717,TOC,NA,NA,NA
C732,TOC,ToC732,NA,6
C740,TOC,ToC740,NA,NA
C75,TOC,To0C75,NA,2
C762,ABA,AbC762,NA,2
C784,TOC,ToC784,2,NA
C793,PTR,PtC793,NA,2
C804,ABA,AbC804,2,NA
C811,ABA,AbC811,NA,NA
C834,ABA,AbC834,NA,NA
C836,ABA,AbC836,NA,4
C843,ABA,AbC843,2,NA
C844,ABA,AbC844,2,NA
C85,TOC,To0C85,2,NA
C856,ABA,AbC856,2,NA
C859,ABA,AbC859,NA,2
C860,ABA,AbC860,2,NA
C872,ABA,AbC872,NA,NA
C873,ABA,AbC873,2,NA
C89,TOC,To0C89,NA,5
C910,ABA,AbC910,2,NA
C912,ABA,AbC912,NA,2
C934,ABA,AbC934,NA,3
C935,TOC,ToC935,NA,2
C98,TOC,To0C98,NA,NA
C992,TOC,ToC992,NA,NA
C996,TOC,ToC996,NA,8
dps32,ABA,AbC136,NA,2
I1,PTR,PtI001,NA,3
I109,PTR,PtI109,NA,3
I113,PTR,PtI113,NA,2
I114,PTR,PtI114,NA,NA
I117,PTR,PtI117,NA,2
I12,PTR,NA,NA,NA
I123,PTR,PtI123,2,NA
I124,PTR,PtI124,NA,2
I143,PTR,PtI143,NA,3
I147,PTR,PtI147,NA,NA
I148,PTR,PtI148,NA,NA
I152,PTR,PtI152,NA,13
I163,PTR,PtI163,NA,2
I165,PTR,PtI165,2,NA
I174,PTR,PtI174,NA,NA
I176,PTR,PtI176,NA,NA
I188,PTR,PtI188,NA,3
I190,PTR,PtI190,NA,NA
I201,PTR,PtI201,NA,2
I213,PTR,PtI213,2,NA
I22,PTR,PtI022,NA,NA
I226,PTR,PtI226,2,NA
I231,PTR,PtI231,NA,NA
I250,PTR,PtI250,2,NA
I30,PTR,PtI030,NA,NA
I32,PTR,PtI032,NA,5
I33,PTR,PtI033,2,NA
I35,PTR,NA,NA,NA
I4,PTR,PtI004,NA,NA
I40,PTR,PtI040,NA,NA
I55,PTR,PtI055,NA,4
I70,PTR,PtI070,NA,8
I75,ABA,NA,NA,NA
I8,PTR,PtI008,2,NA
T10,PGL,Pg0T10,NA,3
T13,PGL,Pg0T13,NA,NA
T16,PGL,Pg0T16,NA,3
T17,PGL,Pg0T17,2,NA
T18,PGL,Pg0T18,2,NA
T2,PGL,Pg00T2,NA,3
T20,PGL,Pg0T20,NA,2
T21,PGL,Pg0T21,NA,3
T22,PGL,Pg0T22,NA,3
T23,PGL,Pg0T23,NA,3
T26,PGL,Pg0T26,NA,NA
T3,PGL,Pg00T3,NA,NA
T33,PGL,Pg0T33,NA,7
T36,PGL,Pg0T36,NA,2
T37,PGL,Pg0T37,NA,3
T38,PGL,Pg0T38,NA,2
T39,PGL,Pg0T39,NA,4
T4,PGL,Pg00T4,NA,9
T40,PGL,Pg0T40,NA,7
T44,PGL,Pg0T44,2,NA
T45,PGL,Pg0T45,NA,NA
T49,PGL,Pg0T49,NA,2
T50,PGL,Pg0T50,NA,3
T52,PGL,Pg0T52,NA,NA
T53,PGL,Pg0T53,2,NA
T54,PGL,Pg0T54,NA,3
T59,PGL,Pg0T59,2,NA
T60,PGL,Pg0T60,NA,4
T63,PGL,Pg0T63,NA,NA
T64,PGL,Pg0T64,NA,NA
T9,PGL,Pg00T9,NA,3
