meas_id,stem_id,year,dbh,status_id,crown_class,live_crown_class,decay_class
HM1,H1760_1,1994,43,AS,I,NA,NA
HM2,H1760_1,2004,45.5,AS,I,B,NA
HM3,H1760_1,2011,48,AS,C,B,NA
HM4,H1760_10,1994,29.8,AS,I,NA,NA
HM5,H1760_10,2004,32.6,AS,I,A,NA
HM6,H1760_10,2011,34.9,AS,C,A,NA
HM7,H1760_10,2018,35.3,AS,D,A,NA
HM8,H1760_100,1994,16,DS,NA,NA,NA
HM9,H1760_100,2004,NA,DF,NA,NA,NA
HM10,H1760_1000,1994,33.2,AS,C-I,NA,NA
HM11,H1760_1000,2004,34.7,AS,C,A,NA
HM12,H1760_1000,2011,38.9,AS,C,A,NA
HM13,H1760_1000,2018,37.3,AS,D,A,NA
HM14,H1760_1001,1994,8.7,AS,S,NA,NA
HM15,H1760_1001,2004,8.8,AS,S,A,NA
HM16,H1760_1001,2011,10,AS,C,A,NA
HM17,H1760_1001,2018,10,DF,NA,NA,F1
HM18,H1760_1002,2011,6.1,AS,S,A,NA
HM19,H1760_1002,2018,8.5,AS,S,A,NA
HM20,H1760_1003,2011,6,AS,S,A,NA
HM21,H1760_1003,2018,6.8,AF,S,D,NA
HM22,H1760_1004,2011,6,AS,S,A,NA
HM23,H1760_1004,2018,7.8,AS,S,B,NA
HM24,H1760_1005,2011,6,AS,S,A,NA
HM25,H1760_1005,2018,6.8,AS,S,A,NA
HM26,H1760_1006,2011,5.9,AS,S,A,NA
HM27,H1760_1006,2018,6.7,AS,S,A,NA
HM28,H1760_1007,2011,5.3,AS,S,A,NA
HM29,H1760_1007,2018,5.8,AS,S,B,NA
HM30,H1760_1008,1994,15.8,DS,NA,NA,NA
HM31,H1760_1008,2004,NA,DF,NA,NA,NA
HM32,H1760_1009,1994,5.5,DS,NA,NA,NA
HM33,H1760_1009,2004,NA,DF,NA,NA,NA
HM34,H1760_101,1994,6,DS,NA,NA,NA
HM35,H1760_101,2004,NA,DF,NA,NA,NA
HM36,H1760_1010,1994,18.2,DS,NA,NA,NA
HM37,H1760_1010,2004,NA,DF,NA,NA,NA
HM38,H1760_1011,1994,11.1,DS,NA,NA,NA
HM39,H1760_1011,2004,NA,DF,NA,NA,NA
HM40,H1760_1012,1994,5.3,DS,NA,NA,NA
HM41,H1760_1012,2004,NA,DF,NA,NA,NA
HM42,H1760_1013,2018,7.4,AL,S,C,NA
HM43,H1760_1014,2018,5.8,AL,S,C,NA
HM44,H1760_1015,1994,12.9,AS,S,NA,NA
HM45,H1760_1015,2004,14.2,AS,S,A,NA
HM46,H1760_1015,2011,16.2,AS,S,A,NA
HM47,H1760_1015,2018,19.2,AL,I,A,NA
HM48,H1760_1016,1994,14.2,AS,S,NA,NA
HM49,H1760_1016,2004,17.5,AS,S,A,NA
HM50,H1760_1016,2011,20,AS,C,A,NA
HM51,H1760_1016,2018,22.9,AS,I,A,NA
HM52,H1760_1017,1994,29.8,AS,I,NA,NA
HM53,H1760_1017,2004,31.3,AS,I,A,NA
HM54,H1760_1017,2011,33.8,AS,C,A,NA
HM55,H1760_1017,2018,34.5,AS,D,A,NA
HM56,H1760_1018,1994,44,AS,D,NA,NA
HM57,H1760_1018,2004,42.7,AS,C,C,NA
HM58,H1760_1018,2011,44.3,DS,NA,NA,S3
HM59,H1760_1018,2018,44.3,DS,NA,NA,S3
HM60,H1760_1019,1994,38.5,AS,D,NA,NA
HM61,H1760_1019,2004,41.7,AS,D,A,NA
HM62,H1760_1019,2011,45.1,AS,D,A,NA
HM63,H1760_1019,2018,47.5,AS,D,A,NA
HM64,H1760_102,1994,7.1,DS,NA,NA,NA
HM65,H1760_102,2004,NA,DF,NA,NA,NA
HM66,H1760_1020,1994,34.7,AS,D,NA,NA
HM67,H1760_1020,2004,39.1,AS,D,A,NA
HM68,H1760_1020,2011,42.7,AS,D,A,NA
HM69,H1760_1020,2018,44.2,AS,D,A,NA
HM70,H1760_1021,2004,5.4,AS,S,A,NA
HM71,H1760_1021,2011,8.2,AS,S,A,NA
HM72,H1760_1021,2018,9,DS,NA,NA,S4
HM73,H1760_1022,2004,5.2,AS,S,A,NA
HM74,H1760_1022,2011,7.7,AS,S,A,NA
HM75,H1760_1022,2018,9.4,AS,I,B,NA
HM76,H1760_1023,2004,7,AS,S,A,NA
HM77,H1760_1023,2011,10.6,AS,I,A,NA
HM78,H1760_1023,2018,13.4,AS,I,A,NA
HM79,H1760_1024,2004,15.8,AS,S,A,NA
HM80,H1760_1024,2011,9.2,AS,S,A,NA
HM81,H1760_1024,2018,11.8,AS,I,A,NA
HM82,H1760_1025,2011,5.5,AS,S,A,NA
HM83,H1760_1025,2018,6.6,AS,S,B,NA
HM84,H1760_1026,2011,7.1,AS,S,A,NA
HM85,H1760_1026,2018,9.5,AS,S,B,NA
HM86,H1760_1027,2011,5.2,AS,S,A,NA
HM87,H1760_1027,2018,5.7,AS,S,C,NA
HM88,H1760_1028,2011,5.5,AS,S,A,NA
HM89,H1760_1028,2018,5.5,DS,NA,NA,S3
HM90,H1760_1029,2011,7.2,AS,S,A,NA
HM91,H1760_1029,2018,10.5,AS,S,A,NA
HM92,H1760_103,1994,15.3,DS,NA,NA,NA
HM93,H1760_103,2004,NA,DF,NA,NA,NA
HM94,H1760_1030,2011,7.4,AS,S,A,NA
HM95,H1760_1030,2018,7.2,AS,S,C,NA
HM96,H1760_1031,2011,5.8,AS,S,A,NA
HM97,H1760_1031,2018,5.8,DF,NA,NA,F1
HM98,H1760_1032,2011,6.8,AS,S,A,NA
HM99,H1760_1032,2018,8.1,DF,NA,NA,F1
HM100,H1760_1033,2011,6.4,AS,S,A,NA
HM101,H1760_1033,2018,6.8,AF,S,B,NA
HM102,H1760_1034,2011,95,AS,I,A,NA
HM103,H1760_1034,2018,13,AS,I,A,NA
HM104,H1760_1035,2011,7,AS,I,A,NA
HM105,H1760_1035,2018,9.6,AS,I,A,NA
HM106,H1760_1036,2011,6.3,AS,S,A,NA
HM107,H1760_1036,2018,7.8,AS,S,A,NA
HM108,H1760_1037,2011,19,DS,NA,NA,S4
HM109,H1760_1037,2018,NA,DF,NA,NA,F2
HM110,H1760_1038,1994,15.5,DS,NA,NA,NA
HM111,H1760_1038,2004,NA,DF,NA,NA,NA
HM112,H1760_1039,1994,11.2,DS,NA,NA,NA
HM113,H1760_1039,2004,NA,DF,NA,NA,NA
HM114,H1760_104,1994,14.7,DS,NA,NA,NA
HM115,H1760_104,2004,NA,DF,NA,NA,NA
HM116,H1760_1040,1994,5.7,DS,NA,NA,NA
HM117,H1760_1040,2004,NA,DF,NA,NA,NA
HM118,H1760_1041,1994,18,DS,NA,NA,NA
HM119,H1760_1041,2004,NA,DF,NA,NA,NA
HM120,H1760_1042,1994,22.3,DS,NA,NA,NA
HM121,H1760_1042,2004,NA,DF,NA,NA,NA
HM122,H1760_1043,1994,12.3,DS,NA,NA,NA
HM123,H1760_1043,2004,NA,DF,NA,NA,NA
HM124,H1760_1044,1994,19.2,DS,NA,NA,NA
HM125,H1760_1044,2004,NA,DF,NA,NA,NA
HM126,H1760_1045,1994,12.6,DS,NA,NA,NA
HM127,H1760_1045,2004,NA,DF,NA,NA,NA
HM128,H1760_1046,2018,6.5,AS,S,A,NA
HM129,H1760_1047,2018,7.6,AF,S,A,NA
HM130,H1760_1048,1994,31.9,AS,I,NA,NA
HM131,H1760_1048,2004,35.2,AS,I,A,NA
HM132,H1760_1048,2011,36.7,AS,C,A,NA
HM133,H1760_1048,2018,59,AS,C,A,NA
HM134,H1760_1049,1994,6.5,DS,NA,NA,NA
HM135,H1760_1049,2004,6.6,AS,S,E,NA
HM136,H1760_1049,2011,6.5,DS,NA,NA,S2
HM137,H1760_1049,2018,6.4,DS,NA,NA,S1
HM138,H1760_105,2018,5.2,AS,S,A,NA
HM139,H1760_1050,1994,8.1,AS,S,NA,NA
HM140,H1760_1050,2004,10.6,AS,S,A,NA
HM141,H1760_1050,2011,12,AS,S,A,NA
HM142,H1760_1050,2018,12.9,AL,S,A,NA
HM143,H1760_1051,1994,29.2,AS,I,NA,NA
HM144,H1760_1051,2004,30.5,AS,I,A,NA
HM145,H1760_1051,2011,31.7,AS,C,A,NA
HM146,H1760_1051,2018,33.1,AS,C,A,NA
HM147,H1760_1052,1994,16.6,AS,S,NA,NA
HM148,H1760_1052,2004,17.2,AS,S,A,NA
HM149,H1760_1052,2011,18,AS,S,A,NA
HM150,H1760_1052,2018,18.6,AS,I,A,NA
HM151,H1760_1053,1994,29.6,AS,C-I,NA,NA
HM152,H1760_1053,2004,31.4,AS,C,A,NA
HM153,H1760_1053,2011,32.1,AS,C,A,NA
HM154,H1760_1053,2018,33.7,AS,C,A,NA
HM155,H1760_1054,2004,52.9,AS,D,A,NA
HM156,H1760_1054,2011,54.3,AS,C,B,NA
HM157,H1760_1054,2018,57.1,AS,D,A,NA
HM158,H1760_1055,1994,31,AS,C-I,NA,NA
HM159,H1760_1055,2004,34.6,AS,C,C,NA
HM160,H1760_1055,2011,34.7,AS,C,A,NA
HM161,H1760_1055,2018,36.6,AS,C,A,NA
HM162,H1760_1056,2011,6.3,AS,S,A,NA
HM163,H1760_1056,2018,7.4,AL,S,B,NA
HM164,H1760_1057,1994,10,DS,NA,NA,NA
HM165,H1760_1057,2004,NA,DF,NA,NA,NA
HM166,H1760_1058,1994,5.8,DS,NA,NA,NA
HM167,H1760_1058,2004,NA,DF,NA,NA,NA
HM168,H1760_1059,1994,8.9,DS,NA,NA,NA
HM169,H1760_1059,2004,NA,DF,NA,NA,NA
HM170,H1760_106,2018,9,AS,S,A,NA
HM171,H1760_1060,1994,8.3,DS,NA,NA,NA
HM172,H1760_1060,2004,NA,DF,NA,NA,NA
HM173,H1760_1061,1994,5,DS,NA,NA,NA
HM174,H1760_1061,2004,NA,DF,NA,NA,NA
HM175,H1760_1062,1994,11.7,DS,NA,NA,NA
HM176,H1760_1062,2004,NA,DF,NA,NA,NA
HM177,H1760_1063,1994,6.2,DS,NA,NA,NA
HM178,H1760_1063,2004,NA,DF,NA,NA,NA
HM179,H1760_1064,1994,5.5,DS,NA,NA,NA
HM180,H1760_1064,2004,NA,DF,NA,NA,NA
HM181,H1760_1065,1994,18,DS,NA,NA,NA
HM182,H1760_1065,2004,NA,DF,NA,NA,NA
HM183,H1760_1066,1994,5.6,DS,NA,NA,NA
HM184,H1760_1066,2004,NA,DF,NA,NA,NA
HM185,H1760_1067,1994,17.5,DS,NA,NA,NA
HM186,H1760_1067,2004,NA,DF,NA,NA,NA
HM187,H1760_1068,1994,20.2,AS,S,NA,NA
HM188,H1760_1068,2004,20.8,AS,I,B,NA
HM189,H1760_1068,2011,21,AS,I,A,NA
HM190,H1760_1068,2018,21.8,AS,I,B,NA
HM191,H1760_1069,1994,44.6,AS,D,NA,NA
HM192,H1760_1069,2004,49.3,AS,D,A,NA
HM193,H1760_1069,2011,53,AS,D,A,NA
HM194,H1760_1069,2018,NA,DF,NA,NA,F1
HM195,H1760_107,1994,21.5,AS,I,NA,NA
HM196,H1760_107,2004,24,AS,I,B,NA
HM197,H1760_107,2011,27.5,AL,I,A,NA
HM198,H1760_107,2018,26.4,AL,C,A,NA
HM199,H1760_1070,1994,32.2,AS,I,NA,NA
HM200,H1760_1070,2004,34.5,AS,I,B,NA
HM201,H1760_1070,2011,35.5,AS,C,A,NA
HM202,H1760_1070,2018,31.5,AS,C,A,NA
HM203,H1760_1071,1994,35,AS,C-I,NA,NA
HM204,H1760_1071,2004,34.8,AS,C,A,NA
HM205,H1760_1071,2011,37.1,AS,C,A,NA
HM206,H1760_1071,2018,39.1,AS,C,A,NA
HM207,H1760_1072,1994,34.1,AS,C-I,NA,NA
HM208,H1760_1072,2004,36.4,AS,C,B,NA
HM209,H1760_1072,2011,37.5,AS,C,A,NA
HM210,H1760_1072,2018,38.2,AS,C,A,NA
HM211,H1760_1073,1994,6.8,DS,NA,NA,NA
HM212,H1760_1073,2004,NA,DF,NA,NA,NA
HM213,H1760_1074,1994,17.1,DS,NA,NA,NA
HM214,H1760_1074,2004,NA,DF,NA,NA,NA
HM215,H1760_1075,1994,6.7,DS,NA,NA,NA
HM216,H1760_1075,2004,NA,DF,NA,NA,NA
HM217,H1760_1076,1994,16.2,DS,NA,NA,NA
HM218,H1760_1076,2004,NA,DF,NA,NA,NA
HM219,H1760_1077,2018,6,AF,S,A,NA
HM220,H1760_1078,2018,5.5,AS,S,C,NA
HM221,H1760_1079,2018,5.8,AS,S,A,NA
HM222,H1760_108,1994,14.3,AS,S,NA,NA
HM223,H1760_108,2004,16.7,AS,I,A,NA
HM224,H1760_108,2011,18.4,AS,I,A,NA
HM225,H1760_108,2018,20.2,AS,C,A,NA
HM226,H1760_1080,1994,45.6,AS,C-I,NA,NA
HM227,H1760_1080,2004,47.8,AS,C,A,NA
HM228,H1760_1080,2011,49,AS,C,A,NA
HM229,H1760_1080,2018,50,AS,NA,NA,NA
HM230,H1760_1081,1994,13.3,AS,S,NA,NA
HM231,H1760_1081,2004,15.3,AS,I,C,NA
HM232,H1760_1081,2011,16.6,AS,I,A,NA
HM233,H1760_1081,2018,18.1,AS,I,C,NA
HM234,H1760_1082,1994,31.3,AS,I,NA,NA
HM235,H1760_1082,2004,32.8,AS,I,A,NA
HM236,H1760_1082,2011,33.8,AS,C,A,NA
HM237,H1760_1082,2018,34.4,AS,C,B,NA
HM238,H1760_1083,1994,36,AS,I,NA,NA
HM239,H1760_1083,2004,38.4,AS,I,A,NA
HM240,H1760_1083,2011,39.9,AS,C,A,NA
HM241,H1760_1083,2018,38.9,AL,C,A,NA
HM242,H1760_1084,1994,33.5,AS,I,NA,NA
HM243,H1760_1084,2004,35.4,AS,I,A,NA
HM244,H1760_1084,2011,37.1,AS,C,A,NA
HM245,H1760_1084,2018,38.8,AS,D,A,NA
HM246,H1760_1085,1994,20.4,AS,S,NA,NA
HM247,H1760_1085,2004,22.5,AS,S,C,NA
HM248,H1760_1085,2011,23.3,AS,I,A,NA
HM249,H1760_1085,2018,23.8,DF,NA,NA,S4
HM250,H1760_1086,1994,7.9,DS,NA,NA,NA
HM251,H1760_1086,2004,NA,DF,NA,NA,NA
HM252,H1760_1087,1994,6.3,DS,NA,NA,NA
HM253,H1760_1087,2004,NA,DF,NA,NA,NA
HM254,H1760_1088,1994,17.4,DS,NA,NA,NA
HM255,H1760_1088,2004,NA,DF,NA,NA,NA
HM256,H1760_1089,1994,19.9,DS,NA,NA,NA
HM257,H1760_1089,2004,NA,DF,NA,NA,NA
HM258,H1760_109,1994,17.2,AS,S,NA,NA
HM259,H1760_109,2004,17.6,AS,S,A,NA
HM260,H1760_109,2011,17.6,AL,S,A,NA
HM261,H1760_109,2018,18.2,AL,S,B,NA
HM262,H1760_1090,1994,8.7,DS,NA,NA,NA
HM263,H1760_1090,2004,NA,DF,NA,NA,NA
HM264,H1760_1091,1994,9,DS,NA,NA,NA
HM265,H1760_1091,2004,NA,DF,NA,NA,NA
HM266,H1760_1092,1994,11.7,DS,NA,NA,NA
HM267,H1760_1092,2004,NA,DF,NA,NA,NA
HM268,H1760_1093,1994,9.9,DS,NA,NA,NA
HM269,H1760_1093,2004,NA,DF,NA,NA,NA
HM270,H1760_1094,1994,7.8,AS,S,NA,NA
HM271,H1760_1094,2004,NA,DF,NA,NA,NA
HM272,H1760_1095,2018,6.8,AS,S,B,NA
HM273,H1760_1096,2018,6.3,AS,S,A,NA
HM274,H1760_1097,1994,22.8,AS,C-I,NA,NA
HM275,H1760_1097,2004,24,AS,D,B,NA
HM276,H1760_1097,2011,25,AS,C,A,NA
HM277,H1760_1097,2018,25.6,AS,C,A,NA
HM278,H1760_1098,1994,30.1,AS,D,NA,NA
HM279,H1760_1098,2004,29.3,AS,C,C,NA
HM280,H1760_1098,2011,31,AS,D,A,NA
HM281,H1760_1098,2018,33.1,AS,D,A,NA
HM282,H1760_1099,1994,22.2,AS,S,NA,NA
HM283,H1760_1099,2004,23.5,AS,I,B,NA
HM284,H1760_1099,2011,25.1,AS,C,A,NA
HM285,H1760_1099,2018,26,AS,C,A,NA
HM286,H1760_11,1994,16.2,AS,S,NA,NA
HM287,H1760_11,2004,18.1,AS,S,A,NA
HM288,H1760_11,2011,18.7,AS,I,B,NA
HM289,H1760_11,2018,19,AL,NA,NA,NA
HM290,H1760_110,1994,9.7,AS,S,NA,NA
HM291,H1760_110,2004,11,AS,S,C,NA
HM292,H1760_110,2011,11.4,AS,I,A,NA
HM293,H1760_110,2018,11.6,AS,I,A,NA
HM294,H1760_1100,1994,35.2,AS,C-I,NA,NA
HM295,H1760_1100,2004,36.5,AS,C,A,NA
HM296,H1760_1100,2011,37.5,AS,C,A,NA
HM297,H1760_1100,2018,41.6,AS,C,B,NA
HM298,H1760_1101,1994,34,AS,C-I,NA,NA
HM299,H1760_1101,2004,36.4,AS,C,B,NA
HM300,H1760_1101,2011,37.7,AS,C,A,NA
HM301,H1760_1101,2018,39.4,AS,C,A,NA
HM302,H1760_1102,1994,48.6,AS,C-I,NA,NA
HM303,H1760_1102,2004,52.5,AS,C,C,NA
HM304,H1760_1102,2011,52.5,AS,C,A,NA
HM305,H1760_1102,2018,56.2,AS,D,A,NA
HM306,H1760_1103,2011,5.2,AS,S,A,NA
HM307,H1760_1103,2018,6.6,AS,S,C,NA
HM308,H1760_1104,2011,7.8,AS,I,A,NA
HM309,H1760_1104,2018,9.7,AS,I,A,NA
HM310,H1760_1105,2011,28.1,DS,NA,NA,S4
HM311,H1760_1105,2018,30,DF,NA,NA,F4
HM312,H1760_1106,2011,6,AS,S,A,NA
HM313,H1760_1106,2018,8.1,AS,I,A,NA
HM314,H1760_1107,2011,5.9,AS,S,A,NA
HM315,H1760_1107,2018,5.8,DS,NA,NA,S2
HM316,H1760_1108,2011,7.3,AS,S,A,NA
HM317,H1760_1108,2018,10.5,AS,S,A,NA
HM318,H1760_1109,2011,5.7,AS,S,B,NA
HM319,H1760_1109,2018,6.3,AS,S,A,NA
HM320,H1760_111,1994,42.3,AS,C-I,NA,NA
HM321,H1760_111,2004,46.1,AS,C,A,NA
HM322,H1760_111,2011,50.6,AS,C,A,NA
HM323,H1760_111,2018,52.6,AS,D,A,NA
HM324,H1760_1110,2011,6.1,AS,S,A,NA
HM325,H1760_1110,2018,6.5,DS,NA,NA,S2
HM326,H1760_1111,1994,13.2,DS,NA,NA,NA
HM327,H1760_1111,2004,NA,DF,NA,NA,NA
HM328,H1760_1112,1994,12.7,DS,NA,NA,NA
HM329,H1760_1112,2004,NA,DF,NA,NA,NA
HM330,H1760_1113,1994,14.5,DS,NA,NA,NA
HM331,H1760_1113,2004,NA,DF,NA,NA,NA
HM332,H1760_1114,1994,21.5,DS,NA,NA,NA
HM333,H1760_1114,2004,NA,DF,NA,NA,NA
HM334,H1760_1115,1994,20.2,DS,NA,NA,NA
HM335,H1760_1115,2004,NA,DF,NA,NA,NA
HM336,H1760_1116,1994,5.5,DS,NA,NA,NA
HM337,H1760_1116,2004,NA,DF,NA,NA,NA
HM338,H1760_1117,1994,10.3,DS,NA,NA,NA
HM339,H1760_1117,2004,NA,DF,NA,NA,NA
HM340,H1760_1118,1994,19.2,DS,NA,NA,NA
HM341,H1760_1118,2004,NA,DF,NA,NA,NA
HM342,H1760_1119,1994,9.4,DS,NA,NA,NA
HM343,H1760_1119,2004,NA,DF,NA,NA,NA
HM344,H1760_112,1994,15.5,DS,NA,NA,NA
HM345,H1760_112,2004,NA,DF,NA,NA,NA
HM346,H1760_1120,1994,29.2,DS,NA,NA,NA
HM347,H1760_1120,2004,NA,DF,NA,NA,NA
HM348,H1760_1121,1994,30.6,AS,D,NA,NA
HM349,H1760_1121,2004,38.7,AS,D,A,NA
HM350,H1760_1121,2011,43.4,AS,D,A,NA
HM351,H1760_1121,2018,47.6,AS,D,A,NA
HM352,H1760_1122,2011,5.4,AS,S,A,NA
HM353,H1760_1122,2018,5.6,AS,S,A,NA
HM354,H1760_1123,2011,6.5,AS,S,A,NA
HM355,H1760_1123,2018,6.3,AS,S,C,NA
HM356,H1760_1124,2011,6,AS,S,A,NA
HM357,H1760_1124,2018,6.8,AS,S,A,NA
HM358,H1760_1125,2011,6.3,AS,S,A,NA
