meas_id,health_id,location_id,notes
HM3836,CD,D,NA
HM3843,CD,D,NA
HM3881,WC,D,NA
HM3958,FN,A,NA
HM3960,CD,D,NA
HM4001,CD,B,NA
HM4024,CD,D,NA
HM4062,CD,A,NA
HM4063,CD,A,NA
HM4135,CD,A,NA
HM4143,CD,A,NA
HM4146,WO,A,NA
HM4165,CD,A,NA
HM4213,WO,A,NA
HM4214,FN,A,NA
HM4399,CD,A,NA
HM4406,WO,D,NA
HM4453,CD,A,NA
HM4453,FN,A,NA
HM4454,CD,A,NA
HM4454,FN,A,NA
HM4533,CD,A,NA
HM4540,CD,D,NA
HM4616,FN,A,NA
HM4749,WO,A,NA
HM4750,FN,A,NA
HM4894,CD,A,NA
HM4957,CH,A,NA
HM4958,CD,C,NA
HM4978,WO,A,NA
HM5202,DI,A,NA
HM5202,DA,A,NA
HM5203,DA,A,NA
HM5293,WC,A,NA
HM5294,WC,A,NA
HM5352,WO,A,NA
HM5353,WC,A,NA
HM5476,WC,A,NA
HM5477,WC,A,NA
HM5516,WC,A,NA
HM5528,DA,A,NA
HM5540,CD,A,NA
HM5543,WO,A,NA
HM5544,WC,A,NA
HM5563,CD,C,NA
HM5585,WC,A,NA
HM5586,WC,A,NA
HM5656,WC,A,NA
HM5657,WC,A,NA
HM5712,DA,A,NA
HM5723,WO,A,NA
HM5731,WC,A,NA
HM5732,WC,A,NA
HM5763,CD,A,NA
HM5786,WO,A,NA
HM5787,FN,A,NA
HM5787,WO,A,NA
HM5830,WO,A,NA
HM5896,WO,A,NA
HM5914,CH,A,NA
HM5915,CD,A,NA
HM6109,WC,A,NA
HM6110,WC,A,NA
HM6177,WC,A,NA
HM6178,WC,A,NA
HM6289,WC,A,NA
HM6312,WC,A,NA
HM6313,WC,C,NA
HM6388,WC,A,NA
HM6436,CK,N,NA
HM6486,WO,A,NA
HM6487,WC,A,NA
HM6498,WO,A,NA
HM6499,WC,A,NA
HM6505,CD,A,NA
HM6506,CD,A,NA
HM6531,WO,A,NA
HM6532,WC,D,NA
HM6536,CD,A,NA
HM6574,WC,A,NA
HM6575,WC,A,NA
HM6590,WO,A,NA
HM6591,WC,A,NA
HM6612,DI,A,NA
HM6620,CH,A,NA
HM6822,CD,A,NA
HM6879,CK,N,NA
HM6891,WC,C,NA
HM6931,WC,A,NA
HM6932,WC,A,NA
HM6969,WO,A,NA
HM6976,WC,A,NA
HM6977,WC,C,NA
HM7012,CK,N,NA
HM7174,WO,A,NA
HM7181,WC,A,NA
HM7182,WC,A,NA
HM7248,CD,A,NA
HM7254,CH,A,NA
HM7255,CH,A,NA
HM7270,CH,A,NA
HM7276,CD,A,NA
HM7277,CD,A,NA
HM7327,CD,A,NA
HM7348,WC,A,NA
HM7400,WO,A,NA
HM7401,WC,A,NA
HM7408,WC,A,NA
HM7409,WC,A,NA
HM7478,CD,A,NA
HM7479,CD,A,NA
HM7503,WC,A,NA
HM7504,WC,A,NA
HM7535,WC,A,NA
HM7650,DA,C,NA
HM7706,WO,A,NA
HM7718,WO,A,NA
HM7729,CK,N,NA
HM7736,CK,N,NA
HM7751,CK,N,NA
HM7792,WC,A,NA
HM7818,WO,A,NA
HM7873,CD,A,NA
HM8067,CK,A,NA
HM8185,WC,A,NA
HM8186,WC,A,NA
HM8230,CK,A,NA
HM8318,WO,A,NA
HM8337,CD,A,NA
HM8453,WO,C,NA
HM8465,WO,A,NA
HM8483,DA,C,NA
HM8675,WO,A,NA
HM8676,WC,A,NA
HM8758,CH,A,NA
HM8796,CH,A,NA
HM8797,CD,A,NA
HM8801,CH,A,NA
HM8866,WO,A,NA
HM8867,WC,C,NA
HM8879,CD,A,NA
HM9032,CH,A,NA
HM9124,WC,A,NA
HM9125,WC,A,NA
HM9147,DI,A,NA
HM9169,WC,A,NA
HM9170,WC,A,NA
HM9328,CD,A,NA
HM9331,WO,A,NA
HM9332,WC,A,NA
HM9374,CH,A,NA
HM9418,WO,A,NA
HM9451,WC,A,NA
HM9452,WC,C,NA
HM9534,CH,A,NA
HM9534,DI,A,NA
HM9535,CH,A,NA
HM9535,DI,A,NA
HM9613,CH,A,NA
HM9614,CD,A,NA
HM9628,DI,A,NA
HM9628,DA,A,NA
HM9715,WC,A,NA
HM9744,CD,A,NA
HM9745,CD,A,NA
HM9798,CK,A,NA
HM9816,WC,A,NA
HM10077,WO,A,NA
HM10078,WO,A,NA
HM10140,WO,A,NA
HM10141,WC,A,NA
HM10380,CD,A,NA
HM10381,CD,A,NA
HM10455,WC,A,NA
HM10467,WO,A,NA
HM10468,WO,A,NA
HM10485,CH,A,NA
HM10497,CD,A,NA
HM10497,WO,A,NA
HM10498,CD,A,NA
HM10505,CD,A,NA
HM10506,CD,A,NA
HM10526,WO,A,NA
HM10548,WO,A,NA
HM10600,CD,D,NA
HM10623,DI,A,NA
HM10700,CD,A,NA
HM10746,CH,A,NA
HM10833,CD,A,NA
HM10834,CD,A,NA
HM10837,CD,B,NA
HM10845,CD,A,NA
HM10846,CD,A,NA
HM10922,WC,A,NA
HM11008,CH,A,NA
HM11043,WC,A,NA
HM11044,WC,A,NA
HM11094,WO,A,NA
HM11095,WO,D,NA
HM11121,WO,A,NA
HM11121,CK,N,NA
HM11163,WO,A,NA
HM11164,WO,A,NA
HM11320,DI,A,NA
HM11393,CD,A,NA
HM11443,CD,A,NA
HM11446,CD,A,NA
HM11507,CD,A,NA
HM11556,CD,C,NA
HM11571,CD,A,NA
HM11572,CD,A,NA
HM11607,WO,A,NA
HM11695,WC,A,NA
HM11788,CK,A,NA
HM11788,CK,N,NA
HM11811,WO,A,NA
HM11833,CD,A,NA
HM11854,CD,A,NA
HM11906,CK,N,NA
HM11914,WC,A,NA
HM11915,WC,A,NA
HM11940,WC,A,NA
HM11945,CH,A,NA
HM11993,WC,A,NA
HM12010,WC,A,NA
HM12011,WC,A,NA
HM12072,FN,A,NA
HM12158,CD,A,NA
HM12220,WC,A,NA
HM12221,WC,A,NA
HM12274,WO,A,NA
HM12275,DA,A,NA
HM12287,WO,A,NA
HM12351,DA,A,NA
HM12351,WO,A,NA
HM12477,FN,A,NA
HM12570,CH,A,NA
HM12587,FN,A,NA
HM12588,FN,A,NA
HM12638,CK,N,NA
HM12665,CH,A,NA
HM12690,CD,A,NA
HM12694,CD,A,NA
HM12697,WC,A,NA
HM12754,CH,A,NA
HM12820,CD,A,NA
HM12861,CD,A,NA
HM12916,CD,A,NA
HM12958,WC,A,NA
HM12959,WC,A,NA
HM12965,WC,A,NA
HM12966,WC,A,NA
HM13003,WC,A,NA
HM13004,WC,A,NA
HM13054,CD,A,NA
HM13086,CD,A,NA
HM13087,CD,A,NA
HM13127,WC,A,NA
HM13128,WC,D,NA
HM13138,WC,A,NA
HM13139,WC,A,NA
HM13153,WC,A,NA
HM13154,WC,A,NA
HM13160,CD,D,NA
HM13167,FN,A,NA
HM13168,FN,D,NA
HM13172,CD,A,NA
HM13176,CD,A,NA
HM13194,WC,A,NA
HM13195,WC,A,NA
HM13212,WO,A,NA
HM13308,WC,A,NA
HM13385,CK,N,NA
HM13399,CD,A,NA
HM13399,WC,A,NA
HM13452,WC,A,NA
HM13507,WC,A,NA
HM13540,WO,A,NA
HM13591,CD,A,NA
HM13627,CD,A,NA
HM13667,WO,A,NA
HM13667,WC,A,NA
HM13680,WO,A,NA
HM13732,CD,A,NA
HM13738,FN,A,NA
HM13821,CD,A,NA
HM13879,WO,A,NA
HM13931,CD,A,NA
HM13999,CK,A,NA
HM14015,CK,A,NA
HM14027,CD,A,NA
HM14076,WO,A,NA
HM14079,WO,A,NA
HM14099,CH,A,NA
HM14105,WO,A,NA
HM14111,WC,A,NA
HM14140,CK,A,NA
HM14159,WC,A,beaver
HM14224,CH,A,NA
HM14224,WO,A,NA
HM14284,CD,A,NA
HM14300,CD,A,NA
HM14318,WC,A,NA
HM14344,FN,A,NA
HM14528,CK,N,NA
HM14566,WO,A,NA
HM14609,CK,N,NA
HM14661,WO,A,NA
HM14680,CD,A,NA
HM14713,WO,A,NA
HM14724,CD,A,NA
HM14824,CK,A,NA
HM14827,WO,A,NA
HM14843,WO,A,NA
HM14875,CD,A,NA
HM14928,WO,A,NA
HM15223,CD,A,NA
HM15231,CH,A,NA
HM15291,FN,A,NA
HM15315,CD,A,NA
HM15342,WO,A,NA
HM15494,CK,A,NA
HM15507,CH,A,NA
HM15516,CH,A,NA
HM15642,WO,A,NA
HM15701,DI,A,NA
HM15737,WO,A,NA
HM15754,CK,A,NA
HM15790,CH,A,NA
HM15804,CK,N,NA
HM15872,CD,A,NA
HM15872,CK,A,NA
HM15994,FN,A,NA
HM16096,DI,A,NA
HM16096,DA,A,NA
HM16217,WO,A,NA
HM16301,WC,A,NA
HM16359,CH,A,NA
HM16377,CD,A,NA
HM16377,DI,A,NA
HM16391,CD,A,NA
HM16394,DI,A,NA
HM16417,CK,A,NA
HM16453,CK,D,NA
HM16458,WO,A,NA
HM16498,WO,A,NA
HM16714,CK,N,NA
HM16761,CK,A,NA
HM16777,WO,A,NA
HM16810,WO,A,NA
HM17071,CK,A,NA
HM17081,WO,A,NA
HM17112,CH,A,NA
HM17182,CD,A,NA
HM17246,CH,A,NA
HM17263,WO,A,NA
HM17263,DI,A,NA
HM17467,CK,N,NA
HM17480,WC,A,NA
HM17572,CH,A,NA
HM17617,WO,A,NA
HM17641,CH,A,NA
HM17647,WC,A,NA
HM17662,WO,A,NA
HM17822,CH,A,NA
HM17868,CK,N,NA
HM17911,WO,A,NA
HM17980,CH,A,NA
HM18029,WC,A,NA
HM18054,WO,A,NA
HM18078,FN,A,NA
HM18078,WO,A,NA
HM18086,WO,A,NA
HM18324,CH,A,NA
HM18408,CH,A,NA
HM18444,WO,A,NA
HM18500,WC,A,NA
HM18561,WC,A,NA
HM18590,CH,A,NA
HM18673,CD,A,NA
HM18721,CD,A,NA
HM18789,CK,N,NA
HM18835,CK,A,NA
HM18848,CH,A,NA
HM18918,CD,A,NA
HM19012,CK,A,NA
HM19041,CK,N,NA
HM19102,CD,A,NA
HM19120,CD,A,NA
HM19123,WO,A,NA
HM19137,WO,A,NA
HM19140,WO,A,NA
HM19146,WO,A,NA
HM19161,WO,A,NA
HM19224,CK,N,NA
HM19570,FN,A,NA
HM19677,CK,N,NA
HM19723,WO,A,NA
HM19802,FN,A,NA
HM19805,CH,A,NA
HM19980,DI,A,NA
HM20025,DI,A,NA
HM20028,DI,A,NA
HM20037,WO,A,NA
HM20071,CD,A,NA
HM20117,FN,A,NA
HM20117,CD,A,NA
HM20138,FN,A,NA
HM20183,FN,A,NA
HM20266,WC,A,NA
HM20290,FN,A,NA
HM20344,FN,A,NA
HM20532,DI,A,NA
HM20535,CK,N,NA
HM20619,FN,A,NA
HM20720,FN,A,NA
HM20865,WO,A,NA
HM20902,CK,N,NA
HM20974,WO,A,NA
HM21005,DI,A,NA
HM21144,WO,A,NA
HM21174,DI,A,NA
HM21174,DA,A,NA
HM21329,FN,A,NA
HM21494,CK,N,NA
HM21628,CH,A,NA
HM21634,CD,A,NA
HM21643,WO,A,NA
HM21697,FN,A,NA
HM21755,CK,N,NA
HM21870,WC,A,NA
HM22221,FN,A,NA
HM22223,WO,A,NA
HM22327,FN,A,NA
HM22480,DI,A,NA
HM22514,CK,N,NA
HM22600,CD,A,NA
HM22620,FN,A,NA
HM22641,WO,A,NA
HM22691,FN,A,NA
HM22691,WO,A,NA
HM22827,CH,A,NA
HM22853,CD,A,NA
HM23509,FN,A,NA
HM23528,WC,A,NA
HM23776,CK,N,NA
HM23864,CK,N,NA
HM23923,CK,N,NA
HM23985,DA,A,NA
HM23991,FN,A,NA
HM24045,WO,A,NA
HM24045,DI,A,NA
HM24092,FN,A,NA
HM24186,CD,A,NA
HM24325,FN,A,NA
HM24399,FN,A,NA
HM24553,DI,A,NA
HM24592,WO,A,NA
HM24592,DI,A,NA
HM24660,WO,A,NA
HM24729,CD,A,NA
HM24730,CD,A,NA
HM24749,CD,A,NA
HM24755,CD,A,NA
HM24761,CK,A,NA
HM24816,WC,A,NA
HM24822,WC,A,NA
HM24865,WC,A,NA
HM24904,CK,A,NA
HM24910,CD,A,NA
HM24917,CH,A,NA
HM24940,WO,A,NA
HM24944,CK,A,NA
HM24944,CH,A,NA
HM24945,CK,A,NA
HM24950,CH,A,NA
HM24951,CD,A,NA
HM24952,CD,A,NA
HM24990,CK,A,NA
HM24990,WC,A,NA
HM24993,CK,A,NA
HM24999,WO,A,NA
HM24999,WC,A,NA
HM25000,WO,A,NA
HM25031,CD,A,NA
HM25033,CD,A,NA
HM25037,CD,A,NA
HM25044,WC,A,NA
HM25050,WO,A,NA
HM25050,CH,A,NA
HM25050,CK,A,NA
HM25056,CK,A,NA
HM25059,WO,A,NA
HM25060,CD,A,NA
HM25075,CK,A,NA
HM25089,WC,B,NA
HM25090,WO,A,NA
HM25128,WC,A,NA
HM25131,WC,A,NA
HM25140,WO,A,NA
HM25141,WC,A,NA
HM25190,CK,A,NA
HM25191,CK,A,NA
HM25205,CK,A,NA
HM25208,CH,A,NA
HM25291,DA,A,NA
HM25292,CD,A,NA
HM25304,CD,A,NA
HM25376,WC,A,NA
HM25382,WC,A,NA
HM25385,CK,A,NA
HM25386,DA,A,NA
HM25421,CD,A,NA
HM25427,CD,A,NA
HM25427,CH,A,NA
HM25433,WC,A,NA
HM25445,CK,A,NA
HM25466,CK,A,NA
HM25537,CD,A,NA
HM25558,WO,A,NA
HM25561,DI,A,NA
HM25577,WO,A,NA
HM25578,WO,A,NA
HM25580,CD,A,NA
HM25581,WC,A,NA
HM25615,WC,A,NA
HM25619,CK,A,NA
HM25665,WC,A,NA
HM25698,WO,A,NA
HM25699,WC,A,NA
HM25704,CD,A,NA
HM25704,CK,A,NA
HM25847,CH,A,NA
HM25847,CK,A,NA
HM25848,CK,A,NA
HM25849,FN,A,NA
HM25862,CD,A,NA
HM25863,WC,A,NA
HM25890,WO,A,NA
HM25893,WC,A,NA
HM25918,CD,A,NA
HM25936,CD,A,NA
HM25937,CK,A,NA
HM25968,CK,A,NA
HM25969,CK,A,NA
HM26029,WO,A,NA
HM26059,CD,A,NA
HM26068,WC,A,NA
HM26070,WO,A,NA
HM26077,WC,A,NA
HM26080,WC,A,NA
HM26083,WC,A,NA
HM26084,WC,A,NA
HM26095,FN,A,NA
HM26095,WC,A,NA
HM26126,CK,A,NA
HM26131,CD,A,NA
HM26133,CK,A,NA
HM26139,CD,A,NA
HM26150,CD,A,NA
HM26151,CD,A,NA
HM26159,CK,A,NA
HM26161,CD,A,NA
HM26162,CD,A,NA
HM26237,CK,A,NA
HM26245,WO,A,NA
HM26246,WC,A,NA
HM26260,WC,A,NA
HM26284,CD,A,NA
HM26285,CD,A,NA
HM26292,WO,A,NA
HM26296,CH,A,NA
HM26296,WC,A,NA
HM26310,WO,A,NA
HM26310,CK,A,NA
HM26324,WC,A,NA
HM26325,CD,A,NA
HM26368,CD,A,NA
HM26368,CH,A,NA
HM26407,WO,A,NA
HM26411,CD,A,NA
HM26411,CK,A,NA
HM26434,WO,A,NA
HM26468,CH,A,NA
HM26469,CH,A,NA
HM26469,CK,A,NA
HM26470,CK,A,NA
HM26470,CH,A,NA
HM26474,WC,A,NA
HM26474,WO,B,NA
HM26577,DI,A,NA
HM26594,DA,A,NA
HM26595,CD,A,NA
HM26598,CD,A,NA
HM26628,CD,A,NA
HM26632,WO,A,NA
HM26633,WO,A,NA
HM26653,CD,A,NA
HM26656,CD,A,NA
HM26697,DA,A,NA
HM26702,WC,A,NA
HM26723,CK,A,NA
HM26724,CK,A,NA
HM26726,CK,A,NA
HM26741,DA,D,NA
HM26742,DA,D,NA
HM26764,DI,A,NA
HM26765,DI,A,NA
HM26769,CK,A,NA
HM26808,CD,A,NA
HM26809,CD,A,NA
HM26810,CD,A,NA
HM26819,WO,A,NA
HM26822,CD,A,NA
HM26822,CK,A,NA
HM26841,WO,A,NA
HM26845,WO,A,NA
HM26846,WO,A,NA
HM26892,CD,A,NA
HM26930,CD,A,NA
HM26932,CH,A,NA
HM26951,CK,A,NA
HM26976,CK,A,NA
HM27003,WC,A,NA
HM27046,CD,A,NA
HM27047,CD,A,NA
HM27057,CD,A,NA
HM27057,CK,A,NA
HM27058,CD,A,NA
HM27068,CD,A,NA
HM27072,CK,A,NA
HM27073,CK,A,NA
HM27082,CK,A,NA
HM27083,CK,A,NA
HM27094,DH,A,NA
HM27112,WO,A,NA
HM27113,CD,A,NA
HM27114,CD,A,NA
HM27115,CK,A,NA
HM27145,CD,A,NA
HM27146,CD,A,NA
HM27175,CK,A,NA
HM27204,WC,A,NA
HM27243,CD,A,NA
HM27258,CD,A,NA
HM27261,CK,A,NA
HM27263,CH,A,NA
HM27307,CH,A,NA
HM27307,WC,A,NA
HM27308,CD,A,NA
HM27336,CH,A,NA
HM27336,WC,A,NA
HM27337,CD,A,NA
HM27347,WO,A,NA
HM27368,CK,A,NA
HM27369,CK,A,NA
HM27464,CD,A,NA
HM27465,WO,A,NA
HM27466,WO,A,NA
HM27480,WO,A,NA
HM27496,WC,A,NA
HM27505,WC,A,NA
HM27523,WC,A,NA
HM27584,WC,A,NA
HM27585,CD,A,NA
HM27614,CH,A,NA
HM27615,CD,A,NA
HM27645,CK,A,NA
HM27652,CD,A,NA
HM27653,CH,A,NA
HM27658,CH,A,NA
HM27669,CD,A,NA
HM27759,FN,D,NA
HM27760,DI,A,NA
HM27762,FN,D,NA
HM27799,WO,A,NA
HM27954,WC,A,NA
HM27954,CK,A,NA
HM27969,WO,A,NA
HM27975,CD,A,NA
HM27981,CH,A,NA
HM28040,FR,A,NA
HM28041,CD,A,NA
HM28042,WO,A,NA
HM28042,DI,A,NA
HM28044,DI,A,NA
HM28099,CD,A,NA
HM28102,WO,A,NA
HM28103,CD,A,NA
HM28111,CK,A,NA
HM28141,CK,A,NA
HM28153,WO,A,NA
HM28154,WO,A,NA
HM28162,CK,A,NA
HM28177,CD,A,NA
HM28183,WC,A,NA
HM28184,CK,A,NA
HM28184,WC,A,NA
HM28186,CK,A,NA
HM28198,WC,A,NA
HM28199,CD,A,NA
HM28208,WO,A,NA
HM28210,WO,A,NA
HM28210,CK,A,NA
HM28211,WC,A,NA
HM28222,WC,A,NA
HM28231,CH,A,NA
HM28231,WC,A,NA
HM28231,CK,A,NA
HM28232,WC,A,NA
HM28232,DA,A,NA
HM28246,CK,A,NA
HM28261,WC,A,NA
HM28263,DA,A,NA
HM28264,WC,A,NA
HM28278,FR,A,NA
HM28279,CH,A,NA
HM28279,FN,A,NA
HM28362,WC,A,NA
HM28365,WC,D,NA
HM28391,CK,A,NA
HM28400,CD,A,NA
HM28422,CD,A,NA
HM28466,WC,A,NA
HM28485,CK,A,NA
HM28490,CK,A,NA
HM28523,CK,A,NA
HM28550,WC,A,NA
HM28556,WC,A,NA
HM28596,CD,A,NA
HM28619,CD,A,NA
HM28658,WO,A,NA
HM28661,CK,A,NA
HM28690,WO,A,NA
HM28691,WC,A,NA
HM28702,WO,A,NA
HM28703,CD,A,NA
HM28708,WO,A,NA
HM28708,CK,A,NA
HM28744,CD,A,NA
HM28744,CK,A,NA
HM28745,CD,A,NA
HM28753,WO,A,NA
HM28753,CK,A,NA
HM28754,WC,A,NA
HM28760,WO,A,NA
HM28789,CK,A,NA
HM28804,CD,A,NA
HM28816,CD,A,NA
HM28816,CK,A,NA
HM28817,CD,A,NA
HM28818,WC,A,NA
HM28851,CD,A,NA
HM28851,WC,A,NA
HM28851,CK,A,NA
HM28852,CD,A,NA
HM28876,CK,A,NA
HM28883,CH,A,NA
HM28885,CD,A,NA
HM28886,CH,A,NA
HM28938,CH,A,NA
HM28942,CD,A,NA
HM28947,WC,A,NA
HM28953,CD,A,NA
HM28954,DA,A,NA
HM28962,WC,A,NA
HM28968,WC,A,NA
HM28971,WO,A,NA
HM28971,WC,A,NA
HM28971,CK,A,NA
HM28990,CD,A,NA
HM28990,CK,A,NA
HM28991,CD,A,NA
HM29001,WO,A,NA
HM29002,WO,A,NA
HM29028,WO,A,NA
HM29028,WC,A,NA
HM29029,CD,A,NA
HM29031,WO,A,NA
HM29040,WO,A,NA
HM29041,CD,A,NA
HM29042,CD,A,NA
HM29069,DA,A,NA
HM29079,WC,A,NA
HM29104,CK,A,NA
HM29204,WC,A,NA
HM29212,WC,A,NA
HM29213,WC,A,NA
HM29223,CD,A,NA
HM29281,CK,A,NA
HM29286,CK,A,NA
HM29380,WC,A,NA
HM29397,CD,A,NA
HM29397,CH,A,NA
HM29427,CH,A,NA
HM29427,CK,A,NA
HM29428,CD,A,NA
HM29430,CD,A,NA
HM29445,CD,A,NA
HM29448,WO,A,NA
HM29472,WC,A,NA
HM29532,WO,A,NA
HM29533,WO,A,NA
HM29534,WO,A,NA
HM29538,CD,A,NA
HM29576,CK,B,NA
HM29576,CD,A,NA
HM29577,CD,A,NA
HM29588,WO,A,NA
HM29613,CK,A,NA
HM29614,CK,A,NA
HM29618,WC,A,NA
HM29663,CK,A,NA
HM29691,CK,A,NA
HM29694,CD,A,NA
HM29694,CK,A,NA
HM29709,CD,A,NA
HM29709,CK,A,NA
HM29710,DA,A,NA
HM29710,DI,A,NA
HM29715,CD,A,NA
HM29718,CD,A,NA
HM29730,FN,B,NA
HM29763,CK,A,NA
HM29809,CK,A,NA
HM29823,CK,A,NA
HM29854,CD,A,NA
HM29867,CK,A,NA
HM29873,CD,A,NA
HM29906,CK,A,NA
HM29928,WC,A,NA
HM29937,WC,A,NA
HM29948,CK,A,NA
HM29949,WC,A,NA
HM29954,CD,A,NA
HM29955,WC,A,NA
HM30031,WC,A,NA
HM30076,CH,A,NA
HM30078,CD,A,NA
HM30088,WO,A,NA
HM30100,CK,A,NA
HM30112,CK,A,NA
HM30112,WC,A,NA
HM30113,CK,A,NA
HM30139,CK,A,NA
HM30139,CD,A,NA
HM30149,CH,A,NA
HM30157,CK,A,NA
HM30157,CD,A,NA
HM30158,WC,A,NA
HM30234,CH,A,NA
HM30301,WC,A,NA
HM30310,CD,A,NA
HM30331,CK,A,NA
HM30346,CH,A,NA
HM30348,CD,A,NA
HM30349,CK,A,NA
HM30372,CK,A,NA
HM30384,WC,A,NA
HM30385,CD,A,NA
HM30388,CH,A,NA
HM30389,WO,A,NA
HM30408,CH,A,NA
HM30414,CD,A,NA
HM30420,WC,A,NA
HM30445,CD,A,NA
HM30476,DH,A,NA
HM30477,WO,A,NA
HM30478,WO,A,NA
HM30486,CD,A,NA
HM30487,CD,A,NA
HM30492,CD,A,NA
HM30493,CD,A,NA
HM30507,CD,A,NA
HM30546,WO,A,NA
HM30547,WC,A,NA
HM30569,WO,A,NA
HM30595,CD,A,NA
HM30662,DA,C,NA
HM30669,CD,A,NA
HM30712,WO,A,NA
HM30713,WO,A,NA
HM30739,WC,A,NA
HM30752,DA,C,NA
HM30813,WO,A,NA
HM30965,CD,A,NA
HM30966,CD,A,NA
HM31011,WO,A,NA
HM31032,WC,A,NA
HM31033,WO,A,NA
HM31057,WO,A,NA
HM31131,CD,A,NA
HM31145,DA,D,NA
HM31251,WC,A,NA
HM31252,WC,A,NA
HM31275,CH,A,NA
HM31293,WC,A,NA
HM31303,DA,D,NA
HM31307,WC,A,NA
HM31537,DA,C,NA
HM31583,DA,C,NA
HM31664,WO,A,NA
HM31706,DA,C,NA
HM31713,CD,A,NA
HM31714,DA,C,NA
HM31714,CD,A,NA
HM31815,FN,D,NA
HM31893,WC,A,NA
HM32007,WO,A,NA
HM32026,CD,A,NA
HM32033,FN,A,NA
HM32077,DA,D,NA
HM32114,CD,A,NA
HM32114,WC,A,NA
HM32115,CD,A,NA
HM32118,CD,A,NA
HM32119,WO,A,NA
HM32172,WC,A,NA
HM32285,WC,A,NA
HM32286,WC,A,NA
HM32422,CD,A,NA
HM32422,CK,A,NA
HM32452,WO,A,NA
HM32452,CK,A,NA
HM32660,DA,A,NA
HM32746,CD,A,NA
HM32747,WC,C,NA
HM32891,DI,N,NA
HM32891,DA,A,NA
HM32892,DA,D,NA
HM32978,CK,A,NA
HM33004,CD,A,NA
HM33087,CD,C,NA
HM33087,WO,A,NA
HM33090,DA,D,NA
HM33090,CH,A,NA
HM33097,CD,A,NA
HM33107,CD,A,NA
HM33108,CD,A,NA
HM33141,WC,A,NA
HM33160,DA,A,NA
HM33160,WO,A,NA
HM33254,WC,N,NA
HM33254,CK,A,NA
HM33255,CK,A,NA
HM33281,DA,D,NA
HM33284,CK,A,NA
HM33309,CK,A,NA
HM33320,CD,A,NA
HM33327,CD,A,NA
HM33358,CD,A,NA
HM33359,CD,A,NA
HM33366,CH,A,NA
HM33374,CK,A,NA
HM33402,CD,A,NA
HM33411,CD,A,NA
HM33488,CD,A,NA
HM33513,DA,A,NA
HM33513,CD,A,NA
HM33564,DA,D,NA
HM33617,CD,A,NA
HM33621,WC,C,NA
HM33748,WC,A,NA
HM33774,CD,A,NA
HM33775,CD,A,NA
HM33780,CD,A,NA
HM33781,WC,A,NA
HM33852,CD,A,NA
HM33958,FN,A,NA
HM33958,WO,A,NA
HM34019,WO,A,NA
HM34022,WO,A,NA
HM34023,DA,D,NA
HM34028,CD,A,NA
HM34032,CD,A,NA
HM34169,WC,A,NA
HM34182,WO,A,NA
HM34185,WC,A,NA
HM34208,WO,A,NA
HM34262,WC,A,NA
HM34303,CD,A,NA
HM34308,DA,D,NA
HM34514,CD,A,NA
HM34518,CD,A,NA
HM34617,DH,A,NA
HM34618,DH,A,NA
HM34641,WO,A,NA
HM34648,WO,A,NA
HM34718,CD,A,NA
HM34719,CD,C,NA
HM34723,WC,C,NA
HM34774,DA,A,NA
HM34844,CD,A,NA
HM34856,CD,A,NA
HM34864,CD,A,NA
HM34869,CD,A,NA
HM34870,CD,A,NA
