meas_id,health_id,location_id,notes
HM247,WO,D,NA
HM248,CD,D,NA
HM288,WO,A,NA
HM416,CD,A,NA
HM417,WO,A,NA
HM419,WO,A,NA
HM420,CD,A,NA
HM421,WC,C,NA
HM569,WO,A,NA
HM571,WO,C,NA
HM578,CD,A,NA
HM953,WO,A,NA
HM985,WO,D,NA
HM986,CD,D,NA
HM989,WO,D,NA
HM990,CD,D,NA
HM995,DA,A,NA
HM1382,CD,A,NA
HM1383,CD,A,NA
HM1486,WO,A,NA
HM1487,CD,A,NA
HM1488,WO,D,NA
HM1542,CD,D,NA
HM1719,CD,A,NA
HM1720,CD,A,NA
HM1941,CD,C,NA
HM1944,FN,B,NA
HM1945,FN,D,NA
HM2050,CD,A,NA
HM2051,CD,D,NA
HM2071,CH,A,NA
HM2100,CD,A,NA
HM2101,CD,A,NA
HM2169,CD,A,NA
HM2170,CD,A,NA
HM2208,WO,A,NA
HM2209,CD,A,NA
HM2210,CD,A,NA
HM2237,WO,C,NA
HM2488,WO,A,NA
HM2532,WO,B,NA
HM2540,WO,D,NA
HM2541,CD,D,NA
HM2624,WO,A,NA
HM2625,CD,A,NA
HM2626,CD,A,NA
HM2635,WO,A,NA
HM2660,CH,C,NA
HM2693,WC,A,NA
HM2705,WO,D,NA
HM2752,WC,A,NA
HM2847,WO,A,NA
HM2859,WO,A,NA
HM2967,WC,A,NA
HM2989,CK,D,NA
HM2989,WO,N,NA
HM3039,WO,A,NA
HM3075,WO,A,NA
HM3082,WO,A,NA
HM3234,WO,A,NA
HM3259,WO,C,NA
HM3396,WC,A,NA
HM3419,WO,C,NA
HM3444,CD,B,NA
HM3485,CD,A,NA
HM3489,CD,A,NA
HM3490,CD,A,NA
HM3536,CD,A,NA
HM3537,WO,D,NA
HM3543,WO,A,NA
HM3544,CD,A,NA
HM3682,FN,A,NA
HM3687,CD,C,NA
HM3722,WO,A,NA
HM3753,FN,A,NA
HM3754,FN,A,NA
HM3786,WO,A,NA
HM3835,WC,A,NA
