plot_id,fire_year,transect,long,lat
1847-T2-1300,1847,1847-T2,-79.2366,48.44713
1847-T2-1350,1847,1847-T2,-79.23625,48.44646
1847-T2-1400,1847,1847-T2,-79.23586,48.44626
1847-T2-1450,1847,1847-T2,-79.23685,48.44621
1847-T2-1500,1847,1847-T2,-79.23735,48.44601
1847-T2-1550,1847,1847-T2,-79.23758,48.44651
1847-T2-1600,1847,1847-T2,-79.23775,48.44698
1847-T2-1650,1847,1847-T2,NA,NA
1847-T2-1700,1847,1847-T2,-79.23836,48.44776
1847-T3-0050,1847,1847-T3,-79.23882,48.45737
1847-T3-0100,1847,1847-T3,-79.238,48.4572
1847-T3-0150,1847,1847-T3,-79.23817,48.45764
1847-T3-0200,1847,1847-T3,-79.2392,48.45769
1847-T3-0250,1847,1847-T3,-79.23981,48.45773
1847-T3-0300,1847,1847-T3,-79.23969,48.45822
1847-T3-0350,1847,1847-T3,-79.2396,48.45862
1847-T3-0400,1847,1847-T3,-79.23884,48.45849
1847-T3-0450,1847,1847-T3,-79.23809,48.45859
1847-T3-0500,1847,1847-T3,-79.23806,48.45896
1847-T3-0550,1847,1847-T3,-79.2388,48.45904
1847-T3-0600,1847,1847-T3,-79.23949,48.45906
1847-T3-0650,1847,1847-T3,-79.24013,48.45908
1847-T3-0700,1847,1847-T3,-79.24018,48.45955
1847-T3-0750,1847,1847-T3,-79.2396,48.45961
1847-T3-0800,1847,1847-T3,-79.23871,48.45969
1847-T3-0850,1847,1847-T3,-79.23798,48.45967
1847-T3-0900,1847,1847-T3,NA,NA
1847-T3-0950,1847,1847-T3,-79.2387,48.46014
1847-T3-1000,1847,1847-T3,-79.23941,48.46
1847-T3-1050,1847,1847-T3,-79.24004,48.46007
1847-T3-1100,1847,1847-T3,-79.24019,48.4605
1847-T3-1150,1847,1847-T3,-79.2401,48.46098
1847-T3-1200,1847,1847-T3,NA,NA
1847-T4-0015,1847,1847-T4,-79.2438,48.44305
1847-T4-0050,1847,1847-T4,-79.24323,48.44255
1847-T4-0100,1847,1847-T4,-79.2425,48.44255
1847-T4-0150,1847,1847-T4,-79.24181,48.44252
1847-T4-0200,1847,1847-T4,-79.24115,48.44251
1847-T4-0250,1847,1847-T4,-79.24044,48.44262
1847-T4-0300,1847,1847-T4,-79.24008,48.44273
1847-T4-0350,1847,1847-T4,-79.23918,48.44266
1847-T4-0400,1847,1847-T4,-79.2386,48.44237
1847-T4-0450,1847,1847-T4,-79.23807,48.44244
1847-T4-0500,1847,1847-T4,-79.23715,48.44236
1847-T4-0550,1847,1847-T4,-79.23697,48.44304
1847-T4-0600,1847,1847-T4,-79.23713,48.44329
1847-T4-0650,1847,1847-T4,-79.2377,48.44342
1847-T4-0700,1847,1847-T4,-79.23833,48.4433
1847-T4-0750,1847,1847-T4,-79.23911,48.44345
1847-T4-0800,1847,1847-T4,-79.23967,48.44347
1847-T4-0850,1847,1847-T4,-79.24034,48.4434
1847-T4-0900,1847,1847-T4,-79.24099,48.443600000000004
1847-T4-0950,1847,1847-T4,-79.24169,48.44358
1847-T4-1000,1847,1847-T4,-79.24237,48.44363
1847-T4-1050,1847,1847-T4,-79.24249,48.44314
1870-T1-0050,1870,1870-T1,-79.29392,48.47764
1870-T1-0100,1870,1870-T1,-79.29407,48.47791
1870-T1-0150,1870,1870-T1,-79.29456,48.47797
1870-T1-0200,1870,1870-T1,-79.29494,48.4783
1870-T1-0250,1870,1870-T1,-79.29568,48.47865
1870-T1-0300,1870,1870-T1,-79.29611,48.47903
1870-T1-0350,1870,1870-T1,-79.29672,48.47919
1870-T1-0500,1870,1870-T1,-79.29804,48.48009
1870-T1-0550,1870,1870-T1,-79.29838,48.48041
1870-T1-0600,1870,1870-T1,-79.29877,48.48071
1870-T1-0650,1870,1870-T1,-79.29921,48.481
1870-T1-0700,1870,1870-T1,-79.29993,48.48131
1870-T2-0050,1870,1870-T2,-79.28926,48.48058
1870-T2-0100,1870,1870-T2,NA,NA
1870-T2-0150,1870,1870-T2,NA,NA
1870-T2-0200,1870,1870-T2,-79.29073,48.48142
1870-T2-0250,1870,1870-T2,-79.29114,48.48181
1870-T2-0300,1870,1870-T2,-79.29173,48.48222
1870-T2-0350,1870,1870-T2,-79.29199,48.48255
1870-T2-0400,1870,1870-T2,NA,NA
1870-T2-0500,1870,1870-T2,-79.29341,48.48337
1870-T2-0550,1870,1870-T2,-79.29392,48.48355
1870-T2-0600,1870,1870-T2,-79.29441,48.48392
1870-T2-0650,1870,1870-T2,-79.29486,48.48412
1870-T2-0700,1870,1870-T2,-79.29565,48.48471
1870-T2-0750,1870,1870-T2,-79.29601,48.48505
1870-T2-0800,1870,1870-T2,-79.29672,48.48529
1870-T2-0850,1870,1870-T2,-79.29693,48.48571
1870-T2-0900,1870,1870-T2,-79.29739,48.48605
1870-T2-0950,1870,1870-T2,-79.29785,48.48639
1870-T2-1000,1870,1870-T2,-79.29817,48.48672
1870-T3-0050,1870,1870-T3,-79.28781,48.49453
1870-T3-0100,1870,1870-T3,-79.28868,48.49458
1870-T3-0150,1870,1870-T3,-79.28925,48.49456
1870-T3-0200,1870,1870-T3,-79.28975,48.49458
1870-T3-0250,1870,1870-T3,-79.29045,48.49446
1870-T3-0300,1870,1870-T3,-79.29121,48.49466
1870-T3-0350,1870,1870-T3,-79.29176,48.49456
1870-T3-0400,1870,1870-T3,-79.29251,48.49458
1870-T3-0450,1870,1870-T3,-79.2932,48.49468
1870-T3-0500,1870,1870-T3,NA,NA
1870-T3-0550,1870,1870-T3,-79.2945,48.49488
1870-T3-0600,1870,1870-T3,-79.29515,48.4947
1870-T3-0650,1870,1870-T3,NA,NA
1870-T4-0100,1870,1870-T4,-79.29949,48.47771
1870-T4-0150,1870,1870-T4,-79.29959,48.47819
1870-T4-0200,1870,1870-T4,-79.29955,48.47863
1870-T4-0250,1870,1870-T4,-79.29933,48.47905
1870-T4-0300,1870,1870-T4,-79.29954,48.47961
1870-T4-0350,1870,1870-T4,-79.29956,48.47999
1870-T4-0400,1870,1870-T4,-79.29963,48.48043
1870-T4-0450,1870,1870-T4,-79.29971,48.48086
1870-T4-0500,1870,1870-T4,NA,NA
1870-T4-0550,1870,1870-T4,NA,NA
1870-T5-0050,1870,1870-T5,-79.2869,48.486
1870-T5-0100,1870,1870-T5,-79.28754,48.48596
1870-T5-0150,1870,1870-T5,-79.28819,48.48608
1870-T5-0200,1870,1870-T5,-79.28892,48.48601
1870-T5-0250,1870,1870-T5,-79.28951,48.4859
1870-T5-0300,1870,1870-T5,-79.29019,48.4859
1870-T5-0350,1870,1870-T5,-79.29096,48.48601
1870-T5-0400,1870,1870-T5,-79.29148,48.48592
1870-T5-0450,1870,1870-T5,-79.29224,48.48606
1870-T5-0500,1870,1870-T5,-79.29287,48.48587
1870-T5-0550,1870,1870-T5,-79.29375,48.48588
1870-T5-0600,1870,1870-T5,-79.29449,48.48577
1870-T5-0650,1870,1870-T5,NA,NA
1870-T5-0700,1870,1870-T5,-79.29574,48.48579
1870-T5-0750,1870,1870-T5,-79.29657,48.48577
1870-T5-0800,1870,1870-T5,-79.29729,48.48578
1870-T6-0050,1870,1870-T6,-79.2991,48.47768
1870-T6-0100,1870,1870-T6,-79.29893,48.47816
1870-T6-0150,1870,1870-T6,NA,NA
