"T1";"T2";"T3";"T4";"T5";"T6";"T7";"T8";"T9";"T10";"T11";"T12";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"DD1";"DD2";"DD3";"DD4";"DD5";"DD6";"DD7";"DD8";"DD9";"DD10";"DD11";"DD12";"DC1";"DC2";"DC3";"DC4";"DC5";"DC6";"DC7";"DC8";"DC9";"DC10";"DC11";"DC12";"GSL1";"GSL2";"GSL3";"GSL4";"GSL5";"GSL6";"GSL7";"GSL8";"GSL9";"GSL10";"GSL11";"GSL12";"P-6";"P-7";"P-8";"P-9";"P-10";"P-11";"P-12";"T-6";"T-7";"T-8";"T-9";"T-10";"T-11";"T-12";"S-6";"S-7";"S-8";"S-9";"S-10";"S-11";"S-12";"DD-6";"DD-7";"DD-8";"DD-9";"DD-10";"DD-11";"DD-12";"DC-6";"DC-7";"DC-8";"DC-9";"DC-10";"DC-11";"DC-12";"GSL-6";"GSL-7";"GSL-8";"GSL-9";"GSL-10";"GSL-11";"GSL-12"
"1954";-14.0988;-6.5607;-6.0408;1.6013;8.2888;14.7099;15.0486;13.9052;10.4205;7.1445;-0.4145;-8.724;132.3661;143.474;116.6866;134.7767;131.0144;203.7081;112.2164;107.3351;193.0269;146.1982;109.162;177.7041;123.0866;106.3611;91.1482;48.6844;9.1335;0;0;0;3.9231;12.6483;48.1414;154.0452;0.355257;5.996595;13.641078;117.468246;374.420776;815.719177;1282.224731;1713.286499;2025.901001;2247.379883;2287.577881;2288.19458;NA;NA;NA;18.18208;20.0385;31.23351;92.4549;102.14677;29.35073;13.79324;NA;NA;NA;NA;NA;NA;NA;187;NA;NA;NA;NA;NA;NA;15.0734;17.0923;15.4364;11.9306;6.4338;2.0328;-4.1106;102.5058;174.1075;90.4685;77.541;97.7994;77.1151;129.2534;0;0;0;0.4474;20.3403;19.93;67.4592;915.18573;1445.047607;1923.575928;2281.494873;2481.98877;2573.564453;2595.475586;70.78944;55.31287;77.53615;145.9106;120.11582;71.75163;NA;167;NA;NA;NA;NA;NA;NA
"1955";-13.1522;-10.159;-6.6911;3.3632;11.3236;15.4181;19.04;18.1436;10.9768;6.4699;-2.4553;-13.3789;108.9729;117.8677;178.1615;84.4091;98.2658;102.7082;81.0574;159.301;60.1033;111.5263;114.1631;111.4495;106.7505;87.3569;149.2157;15.9152;1.8043;0;0;0;2.9127;13.2554;67.1078;105.3499;0;2.35658;6.12149;115.676682;466.70874;929.252258;1519.491333;2081.943848;2411.248047;2618.286377;2646.555664;2646.555664;NA;NA;NA;NA;49.71536;78.67853;163.49341;120.6076;165.95767;166.67888;NA;NA;NA;NA;NA;NA;NA;189;NA;NA;NA;NA;NA;NA;14.7099;15.0486;13.9052;10.4205;7.1445;-0.4145;-8.724;203.7081;112.2164;107.3351;193.0269;146.1982;109.162;177.7041;0;0;0;3.9231;12.6483;48.1414;154.0452;815.719177;1282.224731;1713.286499;2025.901001;2247.379883;2287.577881;2288.19458;31.23351;92.4549;102.14677;29.35073;13.79324;NA;NA;187;NA;NA;NA;NA;NA;NA
"1956";-9.5086;-9.4016;-9.1068;0.2763;5.7546;14.5264;15.0507;14.9136;9.6877;6.1609;-0.5121;-7.0596;97.5819;92.2355;135.571;96.5807;129.5179;70.7849;124.5603;112.7851;110.5891;70.3226;114.4029;101.5563;85.1391;84.3732;123.1638;29.8872;15.3412;0.2184;0;0.2147;7.1895;11.2465;58.4766;79.5374;3.704494;3.704494;3.704494;37.72588;216.764145;652.55658;1119.127319;1581.44812;1872.077637;2063.830566;2140.52832;2143.56665;NA;NA;NA;NA;16.40895;74.03661;92.21482;150.96407;108.4769;43.03033;46.12343;NA;NA;NA;NA;NA;NA;122;NA;NA;NA;NA;NA;NA;15.4181;19.04;18.1436;10.9768;6.4699;-2.4553;-13.3789;102.7082;81.0574;159.301;60.1033;111.5263;114.1631;111.4495;0;0;0;2.9127;13.2554;67.1078;105.3499;929.252258;1519.491333;2081.943848;2411.248047;2618.286377;2646.555664;2646.555664;78.67853;163.49341;120.6076;165.95767;166.67888;NA;NA;189;NA;NA;NA;NA;NA;NA
"1957";-15.2823;-8.9648;-4.6528;2.4626;8.6861;16.12;15.6424;13.765;12.621;5.4917;0.7786;-5.102;129.4533;99.1596;74.7577;98.1577;105.1192;152.2663;169.6183;63.5877;155.9962;90.0846;129.0225;171.672;104.369;73.378;57.1901;48.1938;8.8162;1.0734;0;0;0.3091;4.6809;37.0931;126.6417;5.066042;9.436085;13.307138;133.27002;402.537842;886.137146;1371.05249;1797.766479;2176.396729;2356.409912;2430.931152;2449.262207;NA;NA;NA;14.50621;20.87244;48.51636;40.05338;75.6879;59.26139;26.66302;NA;NA;NA;NA;NA;NA;NA;145;NA;NA;NA;NA;NA;NA;14.5264;15.0507;14.9136;9.6877;6.1609;-0.5121;-7.0596;70.7849;124.5603;112.7851;110.5891;70.3226;114.4029;101.5563;0.2184;0;0.2147;7.1895;11.2465;58.4766;79.5374;652.55658;1119.127319;1581.44812;1872.077637;2063.830566;2140.52832;2143.56665;74.03661;92.21482;150.96407;108.4769;43.03033;46.12343;NA;122;NA;NA;NA;NA;NA;NA
"1958";-9.2379;-13.5783;-2.7613;2.9729;7.3297;11.2578;16.1918;15.7421;11.4802;5.0662;-0.4033;-14.6434;146.5719;137.2815;82.1812;84.0837;93.6858;109.2348;229.091;146.0311;128.6901;142.8934;85.0098;86.5937;121.3029;132.7125;60.9877;23.9148;8.9504;0.4295;0;0;0.8012;24.4778;51.189;77.4803;1.404408;1.404408;1.586133;106.431778;333.652496;671.387329;1173.33313;1661.3396;2005.746216;2163.986084;2221.084717;2221.284668;NA;NA;NA;12.43974;30.20504;40.52327;26.63824;23.60549;35.17724;6.69729;NA;NA;NA;NA;NA;NA;NA;164;NA;NA;NA;NA;NA;NA;16.12;15.6424;13.765;12.621;5.4917;0.7786;-5.102;152.2663;169.6183;63.5877;155.9962;90.0846;129.0225;171.672;1.0734;0;0;0.3091;4.6809;37.0931;126.6417;886.137146;1371.05249;1797.766479;2176.396729;2356.409912;2430.931152;2449.262207;48.51636;40.05338;75.6879;59.26139;26.66302;NA;NA;145;NA;NA;NA;NA;NA;NA
"1959";-11.9648;-14.083;-7.0183;2.2879;10.6512;14.533;18.3309;18.0133;13.8612;5.3254;-1.4774;-7.2257;169.643;105.2374;95.8915;70.7153;94.6068;150.472;92.201;123.3812;70.0983;185.7107;190.6064;108.0452;151.9547;101.6543;78.0355;23.1624;2.3172;0;0;0.3481;0.66;27.9253;104.9665;88.9668;0;0;5.608556;84.286057;414.473602;850.462524;1418.719727;1977.132568;2392.968262;2576.847412;2622.699951;2628.512451;NA;NA;NA;NA;40.84715;32.61465;82.65307;118.50089;161.11671;65.98006;NA;NA;NA;NA;NA;NA;NA;161;NA;NA;NA;NA;NA;NA;11.2578;16.1918;15.7421;11.4802;5.0662;-0.4033;-14.6434;109.2348;229.091;146.0311;128.6901;142.8934;85.0098;86.5937;0.4295;0;0;0.8012;24.4778;51.189;77.4803;671.387329;1173.33313;1661.3396;2005.746216;2163.986084;2221.084717;2221.284668;40.52327;26.63824;23.60549;35.17724;6.69729;NA;NA;164;NA;NA;NA;NA;NA;NA
"1960";-11.6025;-7.0769;-8.0828;2.1269;12.5172;14.6508;15.6559;15.5231;12.1868;4.3709;1.3348;-9.8447;139.6235;163.5491;100.9319;115.3049;112.5436;146.4165;117.4366;68.8915;131.2935;120.0701;78.8869;91.9517;131.3368;129.4383;64.2595;36.0013;0;0;0;0;0.9686;25.4483;25.6312;79.9672;0;1.721351;12.91048;105.049835;493.084503;932.609802;1417.943726;1899.159668;2264.762207;2401.374268;2463.29834;2470.549316;NA;NA;NA;NA;35.24952;51.10963;82.64816;111.85212;92.95419;28.67281;6.01651;NA;NA;NA;NA;NA;NA;182;NA;NA;NA;NA;NA;NA;14.533;18.3309;18.0133;13.8612;5.3254;-1.4774;-7.2257;150.472;92.201;123.3812;70.0983;185.7107;190.6064;108.0452;0;0;0.3481;0.66;27.9253;104.9665;88.9668;850.462524;1418.719727;1977.132568;2392.968262;2576.847412;2622.699951;2628.512451;32.61465;82.65307;118.50089;161.11671;65.98006;NA;NA;161;NA;NA;NA;NA;NA;NA
"1961";-15.5932;-9.7359;-5.9587;0.8367;7.8746;14.0884;16.7879;16.261;15.8252;6.9062;-0.5806;-7.3106;80.5696;94.2916;109.9174;144.7598;126.3588;145.8438;159.0884;125.605;74.0974;97.5435;122.8791;126.2538;75.714;57.5405;92.0778;66.6465;19.9462;0.7584;0;0;0;9.4279;74.9996;98.9477;0;2.481007;8.994079;54.877266;298.990753;721.643738;1242.069214;1746.159058;2220.916016;2438.087402;2488.656738;2490.924561;NA;NA;NA;NA;31.0044;19.54442;28.19934;65.30742;66.48541;66.99364;28.89626;NA;NA;NA;NA;NA;NA;176;NA;NA;NA;NA;NA;NA;14.6508;15.6559;15.5231;12.1868;4.3709;1.3348;-9.8447;146.4165;117.4366;68.8915;131.2935;120.0701;78.8869;91.9517;0;0;0;0.9686;25.4483;25.6312;79.9672;932.609802;1417.943726;1899.159668;2264.762207;2401.374268;2463.29834;2470.549316;51.10963;82.64816;111.85212;92.95419;28.67281;6.01651;NA;182;NA;NA;NA;NA;NA;NA
"1962";-12.4716;-13.4498;-4.7286;0.862;9.4903;14.183;14.0817;15.9942;10.8013;5.1959;-2.7311;-9.411;90.7464;119.8707;86.0735;142.2825;93.7972;99.7082;168.8603;133.767;97.5289;209.52;94.4714;145.7758;77.2919;112.6829;58.0491;52.2248;2.8733;0.2278;0.4315;0;1.225;39.4802;52.2814;132.4981;0;0;16.754236;85.305481;380.062653;805.551147;1242.08252;1737.902222;2061.940674;2233.970215;2247.055176;2262.117676;NA;NA;NA;NA;22.71049;74.85123;78.95792;25.44659;42.08741;17.42914;NA;NA;NA;NA;NA;NA;NA;167;NA;NA;NA;NA;NA;NA;14.0884;16.7879;16.261;15.8252;6.9062;-0.5806;-7.3106;145.8438;159.0884;125.605;74.0974;97.5435;122.8791;126.2538;0.7584;0;0;0;9.4279;74.9996;98.9477;721.643738;1242.069214;1746.159058;2220.916016;2438.087402;2488.656738;2490.924561;19.54442;28.19934;65.30742;66.48541;66.99364;28.89626;NA;176;NA;NA;NA;NA;NA;NA
"1963";-10.71;-14.0273;-5.233;1.2771;8.8656;15.625;17.6612;14.0835;9.9968;8.9702;1.5216;-13.9066;100.2467;135.8364;91.9645;110.3038;99.7578;90.9953;140.7775;218.4687;89.1435;57.8148;156.8725;103.7815;95.4411;132.2737;75.2004;34.1277;9.3903;0.2236;0;0;2.9265;6.3476;47.2422;95.6328;0;0;21.744125;79.904572;354.73764;823.486877;1370.985352;1807.575195;2107.47876;2385.750244;2455.212158;2455.212158;NA;NA;NA;NA;18.81618;83.62184;99.86312;27.08544;24.09523;22.09207;17.50506;NA;NA;NA;NA;NA;NA;169;NA;NA;NA;NA;NA;NA;14.183;14.0817;15.9942;10.8013;5.1959;-2.7311;-9.411;99.7082;168.8603;133.767;97.5289;209.52;94.4714;145.7758;0.2278;0.4315;0;1.225;39.4802;52.2814;132.4981;805.551147;1242.08252;1737.902222;2061.940674;2233.970215;2247.055176;2262.117676;74.85123;78.95792;25.44659;42.08741;17.42914;NA;NA;167;NA;NA;NA;NA;NA;NA
