"T1";"T2";"T3";"T4";"T5";"T6";"T7";"T8";"T9";"T10";"T11";"T12";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"DD1";"DD2";"DD3";"DD4";"DD5";"DD6";"DD7";"DD8";"DD9";"DD10";"DD11";"DD12";"DC1";"DC2";"DC3";"DC4";"DC5";"DC6";"DC7";"DC8";"DC9";"DC10";"DC11";"DC12";"GSL1";"GSL2";"GSL3";"GSL4";"GSL5";"GSL6";"GSL7";"GSL8";"GSL9";"GSL10";"GSL11";"GSL12";"P-6";"P-7";"P-8";"P-9";"P-10";"P-11";"P-12";"T-6";"T-7";"T-8";"T-9";"T-10";"T-11";"T-12";"S-6";"S-7";"S-8";"S-9";"S-10";"S-11";"S-12";"DD-6";"DD-7";"DD-8";"DD-9";"DD-10";"DD-11";"DD-12";"DC-6";"DC-7";"DC-8";"DC-9";"DC-10";"DC-11";"DC-12";"GSL-6";"GSL-7";"GSL-8";"GSL-9";"GSL-10";"GSL-11";"GSL-12"
"1964";-11.4718;-12.9174;-10.0083;1.5733;12.0523;14.4819;19.1032;13.9241;10.7927;4.4238;-3.1272;-13.5562;81.7825;51.6789;78.2371;36.7387;94.9806;144.7738;61.8631;96.9985;103.9572;43.0755;59.9136;78.1561;71.6114;46.8497;70.5852;17.1606;1.2406;0;0;0.3164;1.6208;10.4693;38.882;67.6713;0;0;1.143348;122.824554;496.444641;930.901794;1523.101807;1954.748901;2278.530518;2423.101807;2465.359131;2467.087402;NA;NA;NA;27.23388;63.90657;41.69986;148.43309;191.4407;197.31836;126.21632;NA;NA;NA;NA;NA;NA;NA;161;NA;NA;NA;NA;NA;NA;17.2876;19.2225;14.5435;9.6175;9.8284;0.79;-15.8296;82.9736;71.291;173.3438;65.7457;25.8955;92.9885;36.5793;0;0;0;1.4783;0.4697;34.1241;32.5485;880.281311;1476.178833;1927.028442;2215.552734;2520.933594;2589.230469;2589.230469;149.73207;206.53197;165.46994;131.22452;178.37138;NA;NA;168;NA;NA;NA;NA;NA;NA
"1965";-18.7983;-15.7932;-9.7584;-0.2821;11.4323;15.2344;14.1438;13.5067;10.1813;3.9252;-4.4669;-8.3122;52.8202;87.7078;12.7742;18.8157;77.7986;36.0118;87.8735;156.487;126.5992;62.8486;72.7789;59.4585;51.5635;84.148;10.7779;7.578;0.3467;0.2587;0;0;2.8363;12.1629;57.2277;49.4938;0;0;0.399674;44.270782;398.670807;855.702026;1294.160645;1712.867432;2018.306519;2150.880127;2158.478516;2160.23291;NA;NA;NA;NA;43.70516;139.2133;208.45073;166.59506;88.21648;40.38609;NA;NA;NA;NA;NA;NA;NA;156;NA;NA;NA;NA;NA;NA;14.4819;19.1032;13.9241;10.7927;4.4238;-3.1272;-13.5562;144.7738;61.8631;96.9985;103.9572;43.0755;59.9136;78.1561;0;0;0.3164;1.6208;10.4693;38.882;67.6713;930.901794;1523.101807;1954.748901;2278.530518;2423.101807;2465.359131;2467.087402;41.69986;148.43309;191.4407;197.31836;126.21632;NA;NA;161;NA;NA;NA;NA;NA;NA
"1966";-17.4354;-11.1385;-7.0725;1.278;6.8732;16.2382;17.8922;15.5409;10.3536;4.9992;-3.0298;-12.3524;54.9684;37.197;78.8368;29.3512;41.6012;81.9233;141.6752;143.6352;99.986;103.6057;156.1935;67.4091;54.3273;26.756;58.1753;6.2299;5.089;0;0;0;4.5738;8.5152;87.2915;57.8568;0;3.686632;12.692304;82.319733;309.815918;796.962524;1351.619873;1833.388916;2143.998291;2304.889404;2323.381836;2327.100586;NA;NA;NA;19.3324;66.67101;129.03691;187.68092;97.27046;105.36872;22.80375;NA;NA;NA;NA;NA;NA;NA;135;NA;NA;NA;NA;NA;NA;15.2344;14.1438;13.5067;10.1813;3.9252;-4.4669;-8.3122;36.0118;87.8735;156.487;126.5992;62.8486;72.7789;59.4585;0.2587;0;0;2.8363;12.1629;57.2277;49.4938;855.702026;1294.160645;1712.867432;2018.306519;2150.880127;2158.478516;2160.23291;139.2133;208.45073;166.59506;88.21648;40.38609;NA;NA;156;NA;NA;NA;NA;NA;NA
"1967";-14.6165;-19.6463;-10.2617;-0.0083;6.0069;16.2869;17.1914;14.9779;11.5543;4.5471;-4.7425;-10.1533;99.5961;56.7465;38.474;89.1034;62.1619;105.1622;87.4297;104.9133;70.9432;108.0007;111.9493;52.9802;95.9227;55.4108;29.938;28.6323;7.5037;0;0;0;4.3824;21.0488;57.5131;43.1184;0;0;14.718576;70.649536;257.0065;745.613159;1278.54541;1742.86084;2089.48877;2235.024414;2248.325928;2249.403076;NA;NA;NA;11.22002;40.99916;89.01714;175.15674;176.99672;199.4108;111.59745;NA;NA;NA;NA;NA;NA;NA;135;NA;NA;NA;NA;NA;NA;16.2382;17.8922;15.5409;10.3536;4.9992;-3.0298;-12.3524;81.9233;141.6752;143.6352;99.986;103.6057;156.1935;67.4091;0;0;0;4.5738;8.5152;87.2915;57.8568;796.962524;1351.619873;1833.388916;2143.998291;2304.889404;2323.381836;2327.100586;129.03691;187.68092;97.27046;105.36872;22.80375;NA;NA;135;NA;NA;NA;NA;NA;NA
"1968";-18.1758;-17.3983;-5.7726;3.6048;9.516;13.7052;16.7811;14.7834;14.515;7.6073;-3.9911;-12.2202;24.7424;54.9428;42.5382;36.7698;30.5547;132.0954;131.0171;60.0579;119.6398;72.1459;47.2304;93.6407;22.6199;45.9963;19.8423;13.6897;0.2339;0.2591;0;0;0;6.798;36.7306;80.7473;0;0;35.911354;167.054108;462.048645;873.203308;1393.416748;1851.702271;2287.151367;2526.273926;2535.10083;2535.10083;NA;NA;NA;25.24933;107.03976;131.23555;140.26794;180.23285;167.10347;112.90714;NA;NA;NA;NA;NA;NA;NA;170;NA;NA;NA;NA;NA;NA;16.2869;17.1914;14.9779;11.5543;4.5471;-4.7425;-10.1533;105.1622;87.4297;104.9133;70.9432;108.0007;111.9493;52.9802;0;0;0;4.3824;21.0488;57.5131;43.1184;745.613159;1278.54541;1742.86084;2089.48877;2235.024414;2248.325928;2249.403076;89.01714;175.15674;176.99672;199.4108;111.59745;NA;NA;135;NA;NA;NA;NA;NA;NA
"1969";-11.6455;-11.0015;-9.4323;0.1266;7.5358;13.7589;17.1279;18.0005;10.4325;3.2809;-2.0995;-12.52;69.1667;27.3069;46.8762;38.4489;50.1094;106.0976;129.2185;94.485;66.0799;129.9461;128.7239;59.6339;62.6501;24.9338;36.3918;20.6739;2.6051;0.5919;0;0;1.7745;36.7992;53.267;52.4315;6.554072;6.554072;8.31446;66.906441;300.515076;713.283569;1244.249756;1802.264893;2115.239502;2242.649902;2290.511719;2290.511719;NA;NA;NA;17.91922;54.63806;97.58928;143.12811;122.08665;190.46066;120.94418;NA;NA;NA;NA;NA;NA;NA;128;NA;NA;NA;NA;NA;NA;13.7052;16.7811;14.7834;14.515;7.6073;-3.9911;-12.2202;132.0954;131.0171;60.0579;119.6398;72.1459;47.2304;93.6407;0.2591;0;0;0;6.798;36.7306;80.7473;873.203308;1393.416748;1851.702271;2287.151367;2526.273926;2535.10083;2535.10083;131.23555;140.26794;180.23285;167.10347;112.90714;NA;NA;170;NA;NA;NA;NA;NA;NA
"1970";-19.8648;-16.8003;-8.2606;1.1923;8.1144;15.423;19.2595;17.6341;11.4279;7.3105;-2.3073;-14.9463;44.2356;34.2407;45.7498;50.3033;95.4318;135.95;78.2877;59.9597;88.1584;44.4225;60.7962;62.7296;42.6446;32.4523;40.2481;18.9505;5.9785;0.664;0;0;1.6286;3.0998;33.1653;58.346;0;0;0.91873;93.635239;345.618866;808.308411;1405.353516;1952.010986;2294.847412;2522.572266;2557.032471;2557.772461;NA;NA;NA;20.91347;36.43177;36.54074;87.15137;251.54784;234.44043;190.89955;198.47435;NA;NA;NA;NA;NA;NA;153;NA;NA;NA;NA;NA;NA;13.7589;17.1279;18.0005;10.4325;3.2809;-2.0995;-12.52;106.0976;129.2185;94.485;66.0799;129.9461;128.7239;59.6339;0.5919;0;0;1.7745;36.7992;53.267;52.4315;713.283569;1244.249756;1802.264893;2115.239502;2242.649902;2290.511719;2290.511719;97.58928;143.12811;122.08665;190.46066;120.94418;NA;NA;128;NA;NA;NA;NA;NA;NA
"1971";-18.8135;-12.6878;-8.4374;0.9658;9.1873;15.9398;15.8245;15.9563;14.3954;8.75;-3.4907;-11.7766;74.6655;63.1622;68.5715;25.0708;63.9618;52.3958;94.2868;42.0969;82.7817;67.5102;88.3798;84.1054;71.8884;55.9568;50.3687;9.1657;1.279;0.2274;0;0;1.1434;3.6344;39.7543;71.9948;0;1.925808;2.024035;73.400459;358.207214;836.401794;1326.960938;1821.607544;2253.469238;2524.718262;2546.665283;2550.610107;NA;NA;NA;19.65801;62.92226;163.49591;210.91151;264.70859;293.85989;228.2628;208.38928;NA;NA;NA;NA;NA;NA;179;NA;NA;NA;NA;NA;NA;15.423;19.2595;17.6341;11.4279;7.3105;-2.3073;-14.9463;135.95;78.2877;59.9597;88.1584;44.4225;60.7962;62.7296;0.664;0;0;1.6286;3.0998;33.1653;58.346;808.308411;1405.353516;1952.010986;2294.847412;2522.572266;2557.032471;2557.772461;36.54074;87.15137;251.54784;234.44043;190.89955;198.47435;NA;153;NA;NA;NA;NA;NA;NA
"1972";-16.9592;-17.4142;-11.4248;-1.1921;10.543;13.9195;16.6036;14.2452;10.2091;2.3022;-3.9206;-15.4541;54.6685;61.9019;81.6214;18.3319;40.3383;77.2335;99.6056;114.7324;86.6639;57.3046;39.993;88.4681;49.2489;61.1746;74.7147;9.966;4.6187;0.5685;0;0;5.8078;11.5273;22.5287;85.9951;0;0;1.459317;41.451317;368.282776;785.867798;1300.578735;1742.178467;2048.451904;2152.221436;2159.198242;2159.198242;NA;NA;NA;NA;68.64716;144.78113;201.33675;198.92683;171.95386;108.69177;NA;NA;NA;NA;NA;NA;NA;149;NA;NA;NA;NA;NA;NA;15.9398;15.8245;15.9563;14.3954;8.75;-3.4907;-11.7766;52.3958;94.2868;42.0969;82.7817;67.5102;88.3798;84.1054;0.2274;0;0;1.1434;3.6344;39.7543;71.9948;836.401794;1326.960938;1821.607544;2253.469238;2524.718262;2546.665283;2550.610107;163.49591;210.91151;264.70859;293.85989;228.2628;208.38928;NA;179;NA;NA;NA;NA;NA;NA
"1973";-14.1122;-18.238;-2.2784;1.3346;8.5203;15.6299;17.5191;18.3847;10.6418;7.0689;-3.7757;-13.6582;66.6621;40.7466;68.8622;41.079;95.3534;95.6619;52.9891;131.361;107.6157;77.1026;62.5842;55.7351;53.4659;39.316;35.5415;11.8745;8.2726;1.3027;0;0.3174;6.2384;4.4507;40.5691;47.494;0.73855;0.73855;31.238501;131.592499;395.722137;864.618591;1407.711426;1977.638306;2296.892334;2516.029297;2536.53125;2536.53125;NA;NA;NA;22.76999;31.54152;114.12164;238.65712;258.23773;118.03905;84.71991;NA;NA;NA;NA;NA;NA;NA;126;NA;NA;NA;NA;NA;NA;13.9195;16.6036;14.2452;10.2091;2.3022;-3.9206;-15.4541;77.2335;99.6056;114.7324;86.6639;57.3046;39.993;88.4681;0.5685;0;0;5.8078;11.5273;22.5287;85.9951;785.867798;1300.578735;1742.178467;2048.451904;2152.221436;2159.198242;2159.198242;144.78113;201.33675;198.92683;171.95386;108.69177;NA;NA;149;NA;NA;NA;NA;NA;NA
"1974";-17.5077;-18.3585;-9.8744;-0.4827;6.5256;15.4523;17.3385;16.2048;8.3429;2.0467;-2.385;-9.9281;89.2688;66.9168;27.5159;110.1587;91.2659;88.7315;56.2017;83.2424;196.3285;70.3258;44.2204;65.52;80.3489;60.1373;23.9012;33.5173;14.5359;0;0;0;16.7425;13.1196;21.7911;55.0463;0;0;4.500977;69.731163;277.09024;740.658386;1278.150513;1780.499512;2030.7854;2116.465576;2152.236084;2152.236084;NA;NA;NA;16.76281;26.0458;67.44987;183.47581;234.04967;158.17931;NA;NA;NA;NA;NA;NA;NA;NA;136;NA;NA;NA;NA;NA;NA;15.6299;17.5191;18.3847;10.6418;7.0689;-3.7757;-13.6582;95.6619;52.9891;131.361;107.6157;77.1026;62.5842;55.7351;1.3027;0;0.3174;6.2384;4.4507;40.5691;47.494;864.618591;1407.711426;1977.638306;2296.892334;2516.029297;2536.53125;2536.53125;114.12164;238.65712;258.23773;118.03905;84.71991;NA;NA;126;NA;NA;NA;NA;NA;NA
"1975";-14.7557;-13.2256;-10.2664;-2.6193;13.2361;16.2313;18.8126;16.6269;9.8258;5.6987;-1.367;-15.269;74.7682;31.3549;70.6013;45.7586;107.0039;72.9084;109.6709;63.4629;96.46;60.2068;65.4125;46.0579;65.8895;23.2309;64.1713;15.755;0;0.965;0;0.281;1.9292;11.1596;27.9448;41.4823;2.876486;3.284537;9.178679;59.122742;469.44046;956.378601;1539.569336;2055.00293;2349.775635;2532.62793;2619.504639;2619.504639;NA;NA;NA;NA;64.51155;57.47265;152.07492;197.51552;181.68945;173.59505;NA;NA;NA;NA;NA;NA;NA;171;NA;NA;NA;NA;NA;NA;15.4523;17.3385;16.2048;8.3429;2.0467;-2.385;-9.9281;88.7315;56.2017;83.2424;196.3285;70.3258;44.2204;65.52;0;0;0;16.7425;13.1196;21.7911;55.0463;740.658386;1278.150513;1780.499512;2030.7854;2116.465576;2152.236084;2152.236084;67.44987;183.47581;234.04967;158.17931;NA;NA;NA;136;NA;NA;NA;NA;NA;NA
"1976";-21.3544;-13.6576;-10.0362;1.9532;7.7088;17.3012;16.2869;15.9344;9.5479;1.8777;-6.2452;-20.3686;52.8184;74.1052;84.5295;52.2785;85.7453;56.8771;87.1977;61.5932;163.6432;68.1446;73.1971;66.6682;52.1454;71.741;38.925;13.1855;11.2108;0;1.1771;0.2764;4.4892;16.3806;57.9073;65.7512;0;0;30.946157;132.527237;371.500336;890.537659;1395.430542;1889.396118;2175.83252;2273.111572;2276.541748;2276.541748;NA;NA;NA;17.61077;25.43621;149.6113;213.00662;258.17355;101.73183;63.64771;NA;NA;NA;NA;NA;NA;NA;152;NA;NA;NA;NA;NA;NA;16.2313;18.8126;16.6269;9.8258;5.6987;-1.367;-15.269;72.9084;109.6709;63.4629;96.46;60.2068;65.4125;46.0579;0.965;0;0.281;1.9292;11.1596;27.9448;41.4823;956.378601;1539.569336;2055.00293;2349.775635;2532.62793;2619.504639;2619.504639;57.47265;152.07492;197.51552;181.68945;173.59505;NA;NA;171;NA;NA;NA;NA;NA;NA
