"","ID","DBH"
"2","Ab0V89",66
"3","Ab0V96",76
"4","Ab0V99",80
"5","Ab0V88",91
"6","Ab0V93",90
"7","Ab0V94",82
"8","Ab0V85",110
"9","Ab0V91",147
"10","BPAV109",226
"11","BPAV108",279
"14","Pg0V97",199
"15","Pg0V86",237
"16","Pg0V84",261
"18","Pg0V95",282
"19","PgV100",277
"20","PtV101",106
"21","Pt0V92",124
"22","ToV105",195
"23","ToV107",220
"24","To0V98",242
"25","To0V83",273
"26","AbV102",57
"27","Ab3965",55
"28","Ab3966",71
"29","Ab3946",53
"30","Ab3949",64
"31","AbV106",61
"33","AbV122",82
"34","AbV124",94
"40","AbV130",108
"41","AbV127",146
"42","AbV115",125
"43","AbV123",142
"44","AbV113",140
"47","BPAV131",141
"49","PgV110",254
"55","ToV136",254
"56","AbV129",57
"57","AbV128",74
"58","AbV125",78
"59","Ab3986",64
"60","Ab3973",65
"61","AbV726",74
"62","AbV725",80
"63","AbV728",112
"64","AbV723",108
"65","AbV733",138
"66","AbV740",117
"67","AbV739",131
"68","AbV741",136
"69","AbV722",158
"74","PgV736",151
"75","PgV735",192
"76","PgV731",350
"81","AbV734",64
"83","Ab3982",61
"84","Ab3983",60
"85","Ab3972",57
"86","Ab3952",75
"87","Ab3985",64
"89","AbV753",107
"90","AbV755",130
"92","BPAV751",138
"93","BPAV756",150
"94","PgV752",260
"97","AbV750",75
"98","AbV747",78
"99","AbV746",80
"100","AbV744",82
"101","AbV745",83
"102","AbV757",91
"103","Ab3978",60
"104","Ab3975",50
"105","Ab3969",63
"106","Ab3979",51
"107","Ab3981",69
"108","AbV942",70
"109","AbV944",64
"110","AbV929",73
"111","AbV938",92
"112","AbV945",83
"114","AbV941",90
"115","AbV939",146
"116","AbV943",187
"121","AbV946",144
"122","Ab3957",78
"123","Ab3943",64
"124","Ab3944",69
"125","Ab3980",53
"126","Ab3964",92
"128","AbV956",87
"129","AbV958",106
"130","AbV948",120
"131","AbV954",123
"132","AbV961",128
"133","AbV949",138
"134","AbV951",143
"135","AbV957",164
"136","AbV947",162
"137","AbV964",105
"138","PgV959",368
"140","AbV953",54
"141","AbV963",63
"142","AbV950",74
"143","AbV955",75
"144","AbV952",74
"145","AbV962",96
"146","AbV965",157
"147","Ab3974",56
"148","Ab3968",83
"149","Ab3977",64
"150","Ab3998",51
"151","Ab3997",62
"152","Ab3990",65
"153","Ab3992",56
"154","Ab3996",80
"155","Ab3995",67
"156","Ab0932",85
"157","Ab0913",95
"158","Ab0944",94
"159","Ab0933",129
"160","Ab0945",105
"161","Ab0937",135
"162","Ab0941",157
"163","Ab0943",146
"164","Ab0939",161
"167","To0936",237
"168","Ab0934",80
"169","Ab0935",97
"170","Ab0948",90
"171","Ab0940",61
"172","Ab0947",74
"173","Ab0951",66
"174","Ab0952",75
"175","Ab3957",58
"176","Ab3963",63
"177","Ab0950",82
"178","Ab0949",107
"179","Ab3959",87
"180","Ab0931",68
"181","Ab0930",71
"182","Ab0929",154
"183","Ab0925",111
"185","BPA0517",375
"187","Ab0922",151
"191","To0914",288
"192","Pg0915",355
"194","Ab0920",156
"195","Ab0911",85
"196","Ab0912",91
"197","Ab0916",134
"198","Ab0917",90
"199","Ab0918",91
"200","Ab3950",76
"201","Ab3958",82
"202","Ab3942",57
"203","Ab3960",103
"214","To0530",282
"216","To0598",150
"224","BPA0545",221
"225","BPA0548",240
"226","Ab0557",82
"227","To0535",160
"230","Ab0549",82
"232","Ab3993",77.5
"233","Ab3994",60
"234","Ab3988",56
"235","Ab3976",83
"236","Ab3991",60
"237","Ab0502",121
"239","Ab0505",74
"240","To0503",211
"241","Ab0504",74
"242","Ab0509",98
"245","Ab0507",60
"250","Ab0550",203
"253","Pg0511",206
"256","Ab0586",91
"258","Ab0581",106
"260","Ab0580",75
"261","Ab0585",153
"262","Ab0570",87
"263","To0587",232
"265","Ab0510",116
"266","Ab0531",65
"267","Ab3951",54
"268","Ab3948",61
"269","Ab3970",67
"270","AbV161",86
"273","AbV162",108
"275","AbV166",158
"276","PgV155",275
"277","PgV159",329
"278","PtV169",146
"282","ToV156",175
"283","ToV158",204
"284","ToV170",320
"285","AbV160",61
"286","Ab3961",54
"287","AbV139",82
"290","PgV142",203
"291","PgV147",287
"293","ToV145",92
"294","ToV151",271
"295","ToV137",275
"296","ToV143",287
"297","ToV138",281
"298","AbV141",65
"299","AbV150",76
"300","ToV140",260
"301","Ab3811",56
"302","Ab3810",54
"303","Ab3812",55
"304","Ab3813",58
"305","Ab3814",62
"306","Ab3815",61
"307","Ab3816",58
