"stem_id","short_id","long_id","species_id","pith","estimate_pith"
"C172",NA,"PtI032","PTR",NA,"5"
"C178",NA,"PtI033","PTR",2,NA
"C179",NA,"PtI040","PTR",NA,NA
"C198",NA,"PtI055","PTR",NA,"4"
"C210",NA,"PtI070","PTR",NA,"8"
"C222",NA,"PtI081","PTR",2,NA
"C244","H1823_2344","PtI106","PTR",2,NA
"C255","H1823_2360","PtI109","PTR",NA,"3"
"C263",NA,"PtI113","PTR",NA,"2"
"C266","H1823_2150","PtI114","PTR",NA,NA
"C270",NA,"PtI117","PTR",NA,"2"
"C284",NA,"PtI123","PTR",2,NA
"C297","H1823_2120","PtI124","PTR",NA,"2"
"C30","H1823_1628","PtI134","PTR",NA,"2"
"C318","H1823_1629","PtI135","PTR",2,NA
"C325","H1823_931","PtI138","PTR",NA,"2"
"C326","H1823_449","PtI141","PTR",NA,NA
"C342","H1823_705","PtI142","PTR",NA,NA
"C343","H1823_706","PtI143","PTR",NA,"3"
"C348","H1823_962","PtI147","PTR",NA,NA
"C363","H1823_963","PtI148","PTR",NA,NA
"C377","H1823_1176","PtI151","PTR",NA,NA
"C379","H1823_1198","PtI152","PTR",NA,"13"
"C380","H1823_2197","PtI163","PTR",NA,"2"
"C382","H1823_1969","PtI165","PTR",2,NA
"C386","H1823_1199","PtI174","PTR",NA,NA
"C390","H1823_1201","PtI176","PTR",NA,NA
"C425","H1823_731","PtI186","PTR",NA,"2"
"C426","H1823_470","PtI188","PTR",NA,"3"
"C433","H1823_196","PtI190","PTR",NA,NA
"C437",NA,"PtI201","PTR",NA,"2"
"C456",NA,"PtI208","PTR",2,NA
"C457","H1823_1970","PtI213","PTR",2,NA
"C464","H1823_1998","PtI221","PTR",NA,"2"
"C465","H1823_1237","PtI226","PTR",2,NA
"C470","H1823_1240","PtI229","PTR",2,NA
"C471","H1823_1035","PtI231","PTR",NA,NA
"C489","H1823_251","PtI250","PTR",2,NA
"C501","H1823_696","To0065","TOC",2,NA
"C52","H1823_945","To0081","TOC",2,NA
"C56","H1823_972","To0098","TOC",NA,"2"
